"","genes","res"
"355","TLR1","r25_r26"
"356","SPA17","r25_r26"
"357","FCGR3B","r25_r26"
"358","B3GALT5-AS1","r25_r26"
"359","FAM49B","r25_r26"
"360","DOCK8","r25_r26"
"361","ZNF474","r25_r26"
"362","KIAA1211L","r25_r26"
"363","C2orf50","r25_r26"
"364","CD300LF","r25_r26"
"365","ARID4A","r25_r26"
"366","NME9","r25_r26"
"367","DNAI1","r25_r26"
"368","ENTPD1-AS1","r25_r26"
"369","HBG2","r25_r26"
"370","TNFSF8","r25_r26"
"371","CCDC17","r25_r26"
"372","PIFO","r25_r26"
"373","HGF","r25_r26"
"374","ARC","r25_r26"
"375","TFF3","r25_r26"
"376","GAS2L2","r25_r26"
"377","STMND1","r25_r26"
"378","RSPH4A","r25_r26"
"379","CDHR3","r25_r26"
"380","LOC100507291","r25_r26"
"381","CEP41","r25_r26"
"382","KYNU","r25_r26"
"383","MYZAP","r25_r26"
"384","ANKUB1","r25_r26"
"385","POLR2J2","r25_r26"
"386","UCA1","r25_r26"
"387","SNORD89","r25_r26"
"388","CCNG2","r25_r26"
"389","AGR3","r25_r26"
"390","CAPSL","r25_r26"
"391","CCDC103","r25_r26"
"392","ERICH5","r25_r26"
"393","GDPD3","r25_r26"
"394","LOC105747689","r25_r26"
"395","SMYD2","r25_r26"
"396","DRC1","r25_r26"
"397","C21orf58","r25_r26"
"398","CELF2-AS1","r25_r26"
"399","LACTB","r25_r26"
"400","FAM157C","r25_r26"
"401","NCCRP1","r25_r26"
"402","C21orf59","r25_r26"
"403","KCNJ15","r25_r26"
"404","IFT122","r25_r26"
"405","ROPN1L","r25_r26"
"406","SNX18","r25_r26"
"407","EFCAB1","r25_r26"
"408","SEMA4D","r25_r26"
"409","C9orf9","r25_r26"
"410","LRRC71","r25_r26"
"411","FGFBP2","r25_r26"
"412","LPAL2","r25_r26"
"413","ARL11","r25_r26"
"414","ARMC4","r25_r26"
"415","DIXDC1","r25_r26"
"416","KIF6","r25_r26"
"417","PPP1R32","r25_r26"
"418","AK8","r25_r26"
"419","ST6GALNAC3","r25_r26"
"420","GLB1L","r25_r26"
"421","LINC00282","r25_r26"
"422","SLC38A8","r25_r26"
"423","CRISPLD2","r25_r26"
"424","RNF149","r25_r26"
"425","PPP1R12A","r25_r26"
"426","YOD1","r25_r26"
"427","FAM92B","r25_r26"
"428","C10orf105","r25_r26"
"429","CCDC89","r25_r26"
"430","TCTN1","r25_r26"
"431","ALOX12","r25_r26"
"432","HS3ST3B1","r25_r26"
"433","RSPH9","r25_r26"
"434","ODF2","r25_r26"
"435","ANKRD54","r25_r26"
"436","LRGUK","r25_r26"
"437","SERPINF1","r25_r26"
"438","DCDC2","r25_r26"
"439","DNAH2","r25_r26"
"440","TTLL6","r25_r26"
"441","TPPP","r25_r26"
"442","CFAP74","r25_r26"
"443","NUDC","r25_r26"
"444","FANK1","r25_r26"
"445","GPR135","r25_r26"
"446","ABCC6P1","r25_r26"
"447","GRM7","r25_r26"
"448","CCDC96","r25_r26"
"449","ACSL1","r25_r26"
"450","RBM24","r25_r26"
"451","PRUNE2","r25_r26"
"452","TLR8","r25_r26"
"453","ARX","r25_r26"
"454","CD163","r25_r26"
"455","TTLL9","r25_r26"
"456","PCYT1B","r25_r26"
"457","SLC38A5","r25_r26"
"458","LRRC34","r25_r26"
"459","AGBL2","r25_r26"
"460","NABP1","r25_r26"
"461","TTC26","r25_r26"
"462","RCAN3AS","r25_r26"
"463","CFAP54","r25_r26"
"464","MIR6884","r25_r26"
"465","NFKBIZ","r25_r26"
"466","C16orf71","r25_r26"
"467","TRIM25","r25_r26"
"468","LOC100272216","r25_r26"
"469","CARD8","r25_r26"
"470","PPP1R3B","r25_r26"
"471","PDP1","r25_r26"
