"","genes","res"
"72","CLEC5A","r33_r34"
"73","HIF1A-AS2","r33_r34"
"74","ALOX15P1","r33_r34"
"75","TMPRSS11D","r33_r34"
"76","DMRT3","r33_r34"
"77","PTPRD","r33_r34"
"78","SMCHD1","r33_r34"
"79","AIM2","r33_r34"
"80","EVI2B","r33_r34"
"81","FAM47E","r33_r34"
"82","AOAH","r33_r34"
"83","CYBB","r33_r34"
"84","PCDHAC1","r33_r34"
"85","PTPRC","r33_r34"
"86","MFAP2","r33_r34"
"87","FCGR1A","r33_r34"
"88","DYDC1","r33_r34"
"89","CNGA4","r33_r34"
"90","DNAH10","r33_r34"
"91","LINC00332","r33_r34"
"92","PCSK6","r33_r34"
"93","EID2B","r33_r34"
"94","TTC30A","r33_r34"
"95","ZNF117","r33_r34"
"96","AP1S2","r33_r34"
"97","FLJ32255","r33_r34"
"98","SPAG8","r33_r34"
"99","MNDA","r33_r34"
"100","LRRC18","r33_r34"
"101","RASSF3","r33_r34"
"102","C12orf75","r33_r34"
"103","CFAP52","r33_r34"
"104","CCDC40","r33_r34"
"105","CDH19","r33_r34"
"106","FBXO15","r33_r34"
"107","CCDC151","r33_r34"
"108","MORN2","r33_r34"
"109","PDZRN3-AS1","r33_r34"
"110","PRDM1","r33_r34"
"111","GIMAP4","r33_r34"
"112","MSR1","r33_r34"
"113","LOC100507472","r33_r34"
"114","EPB41L3","r33_r34"
"115","UBE2D1","r33_r34"
"116","SCEL","r33_r34"
"117","ARHGAP15","r33_r34"
"118","GCA","r33_r34"
"119","PLA2G7","r33_r34"
"120","C1orf189","r33_r34"
"121","HRNR","r33_r34"
"122","IGFBP5","r33_r34"
"123","TGM6","r33_r34"
"124","TLR4","r33_r34"
"125","CCDC113","r33_r34"
"126","GABRQ","r33_r34"
"127","FAM149A","r33_r34"
"128","NTRK2","r33_r34"
"129","CASP5","r33_r34"
"130","PLBD1","r33_r34"
"131","LINC00173","r33_r34"
"132","HYDIN","r33_r34"
"133","DUOX2","r33_r34"
"134","TPSD1","r33_r34"
"135","SYK","r33_r34"
"136","NLRC4","r33_r34"
"137","LINC00443","r33_r34"
"138","FCGR2C","r33_r34"
"139","MN1","r33_r34"
"140","HOPX","r33_r34"
"141","DNAH3","r33_r34"
"142","TNFAIP8L1","r33_r34"
"143","FCGR1B","r33_r34"
"144","CARD16","r33_r34"
"145","DLG5-AS1","r33_r34"
"146","PMAIP1","r33_r34"
"147","MEF2C","r33_r34"
"148","PIH1D3","r33_r34"
"149","TLR10","r33_r34"
"150","SPATA18","r33_r34"
"151","PCDHA12","r33_r34"
"152","SKAP2","r33_r34"
"153","LY96","r33_r34"
"154","SCEL-AS1","r33_r34"
"155","MIR3187","r33_r34"
"156","MBOAT2","r33_r34"
"157","IL5RA","r33_r34"
"158","CHST2","r33_r34"
"159","LOC441081","r33_r34"
"160","TCTE1","r33_r34"
"161","VWA3B","r33_r34"
"162","CFAP61","r33_r34"
"163","SLC8A1","r33_r34"
"164","ENTPD1","r33_r34"
"165","DUSP5","r33_r34"
"166","PCDHA1","r33_r34"
"167","RSPH1","r33_r34"
"168","FAM198B","r33_r34"
"169","VAV3","r33_r34"
"170","USP15","r33_r34"
"171","PRSS54","r33_r34"
"172","PCDHA7","r33_r34"
"173","PCDHA13","r33_r34"
"174","PPIL6","r33_r34"
"175","RND1","r33_r34"
"176","MAP1A","r33_r34"
"177","CFAP99","r33_r34"
"178","PCDHA11","r33_r34"
"179","BCAT1","r33_r34"
"180","PCDHA9","r33_r34"
"181","LDLRAD1","r33_r34"
"182","MSI1","r33_r34"
"183","SPIN4","r33_r34"
"184","C1orf194","r33_r34"
"185","PCDHA2","r33_r34"
"186","GLIPR1","r33_r34"
"187","TMEM231","r33_r34"
"188","PNMAL1","r33_r34"
"189","QPCT","r33_r34"
"190","SP140","r33_r34"
"191","SAP30","r33_r34"
"192","PCDHA3","r33_r34"
"193","SPATS1","r33_r34"
"194","CDKN2B","r33_r34"
"195","UMODL1","r33_r34"
"196","PCDHA8","r33_r34"
"197","PIP","r33_r34"
"198","UFC1","r33_r34"
"199","LRMP","r33_r34"
"200","MLKL","r33_r34"
"201","LOC101927056","r33_r34"
"202","LOC80078","r33_r34"
"203","TMEM151B","r33_r34"
"204","RPTN","r33_r34"
"205","YPEL4","r33_r34"
"206","MS4A7","r33_r34"
"207","CNIH2","r33_r34"
"208","TSNAXIP1","r33_r34"
"209","TEKT1","r33_r34"
"210","CYP27C1","r33_r34"
"211","KIF9","r33_r34"
"212","MME","r33_r34"
"213","SEC14L4","r33_r34"
"214","PCDHA5","r33_r34"
"215","SLC24A4","r33_r34"
"216","PCDHA6","r33_r34"
"217","NPL","r33_r34"
"218","PLXNC1","r33_r34"
"219","LPPR3","r33_r34"
"220","DNAJC22","r33_r34"
"221","TM4SF19-TCTEX1D2","r33_r34"
"222","FAM86B1","r33_r34"
"223","ANKK1","r33_r34"
"224","PHLDA1","r33_r34"
"225","CETN2","r33_r34"
"226","CFAP126","r33_r34"
"227","CFAP221","r33_r34"
"228","UBXN10","r33_r34"
"229","LOC101928270","r33_r34"
"230","PLEKHB1","r33_r34"
"231","SLC27A2","r33_r34"
"232","PCDHA4","r33_r34"
"233","CYP3A5","r33_r34"
"234","NAMPT","r33_r34"
"235","GJB1","r33_r34"
"236","LRRC23","r33_r34"
"237","STOML3","r33_r34"
"238","KIAA2012","r33_r34"
"239","LRAT","r33_r34"
"240","CEP72","r33_r34"
"241","TTC30B","r33_r34"
"242","MIR5090","r33_r34"
"243","GK","r33_r34"
"244","EFCAB12","r33_r34"
"245","LPCAT2","r33_r34"
"246","JAKMIP2-AS1","r33_r34"
"247","SELE","r33_r34"
"248","C14orf37","r33_r34"
"249","MAF","r33_r34"
"250","CCNL1","r33_r34"
"251","TLR6","r33_r34"
"252","DOCK11","r33_r34"
"253","EFCAB10","r33_r34"
"254","P2RY13","r33_r34"
"255","CSGALNACT1","r33_r34"
"256","MXD1","r33_r34"
"257","JMJD1C","r33_r34"
"258","ZEB1","r33_r34"
"259","TTC12","r33_r34"
"260","CD86","r33_r34"
"261","PCDHA10","r33_r34"
"262","RASAL1","r33_r34"
"263","CNTN3","r33_r34"
"264","RGS2","r33_r34"
"265","BOD1L1","r33_r34"
"266","CREBRF","r33_r34"
"267","SPAG6","r33_r34"
"268","DUSP6","r33_r34"
"269","KCNRG","r33_r34"
"270","ZNF267","r33_r34"
"271","KIF19","r33_r34"
"272","CEACAM1","r33_r34"
"273","CCDC108","r33_r34"
"274","LOC100506990","r33_r34"
"275","ZEB2","r33_r34"
"276","ZMYND12","r33_r34"
"277","RSPH14","r33_r34"
"278","LOC643802","r33_r34"
"279","CACNA1C","r33_r34"
"280","KCNH7","r33_r34"
"281","C5orf67","r33_r34"
"282","VENTX","r33_r34"
"283","DNER","r33_r34"
"284","C6orf118","r33_r34"
"285","LOC100499484-C9ORF174","r33_r34"
"286","CCDC180","r33_r34"
"287","DNAAF1","r33_r34"
"288","STEAP4","r33_r34"
"289","RIBC2","r33_r34"
"290","VNN2","r33_r34"
"291","MILR1","r33_r34"
"292","CHD1","r33_r34"
"293","SAXO2","r33_r34"
"294","TCTEX1D2","r33_r34"
"295","PDE5A","r33_r34"
"296","TGFBI","r33_r34"
"297","DOCK2","r33_r34"
"298","RSPH10B2","r33_r34"
"299","RSPH10B","r33_r34"
"300","MGAM2","r33_r34"
"301","DNAJC25-GNG10","r33_r34"
"302","HSPB11","r33_r34"
"303","GM2A","r33_r34"
"304","NRBF2","r33_r34"
"305","LRRC43","r33_r34"
"306","IL18RAP","r33_r34"
"307","ANKRD36","r33_r34"
"308","MYEOV","r33_r34"
"309","C11orf70","r33_r34"
"310","TEKT2","r33_r34"
"311","DNALI1","r33_r34"
"312","CR1","r33_r34"
"313","C11orf74","r33_r34"
"314","BAZ1A","r33_r34"
"315","TTC25","r33_r34"
"316","C20orf96","r33_r34"
"317","BACH1","r33_r34"
"318","C22orf15","r33_r34"
"319","SLC22A14","r33_r34"
"320","ADRA2C","r33_r34"
"321","TLR2","r33_r34"
"322","SLC26A2","r33_r34"
"323","DCSTAMP","r33_r34"
"324","ZCCHC6","r33_r34"
"325","GNG10","r33_r34"
"326","RIBC1","r33_r34"
"327","FLI1","r33_r34"
"328","SLC32A1","r33_r34"
"329","B3GALT5","r33_r34"
"330","TTLL10","r33_r34"
"331","RAB3B","r33_r34"
"332","TRIM9","r33_r34"
"333","CCDC74B","r33_r34"
"334","DAB2","r33_r34"
"335","ERV3-1","r33_r34"
"336","C9orf171","r33_r34"
"337","ZNF438","r33_r34"
"338","FAM216B","r33_r34"
"339","CCDC74A","r33_r34"
"340","UPK3BL","r33_r34"
"341","TUBA4B","r33_r34"
"342","CDHR4","r33_r34"
"343","ANKRD44","r33_r34"
"344","QKI","r33_r34"
"345","ARMC3","r33_r34"
"346","ABHD5","r33_r34"
"347","CCDC65","r33_r34"
"348","NPHP1","r33_r34"
"349","MIR34C","r33_r34"
"350","KRT31","r33_r34"
"351","A2M","r33_r34"
"352","TET2","r33_r34"
"353","SDR9C7","r33_r34"
"354","ZC2HC1C","r33_r34"
"355","UMODL1-AS1","r33_r34"
"356","GFPT2","r33_r34"
"357","KIAA1211L","r33_r34"
"358","FCGR3B","r33_r34"
"359","C11orf97","r33_r34"
"360","SPA17","r33_r34"
"361","TLR1","r33_r34"
"362","FAM49B","r33_r34"
"363","CD300LF","r33_r34"
"364","B3GALT5-AS1","r33_r34"
"365","DOCK8","r33_r34"
"366","ARID4A","r33_r34"
"367","ZNF474","r33_r34"
"368","C2orf50","r33_r34"
"369","NME9","r33_r34"
"370","ENTPD1-AS1","r33_r34"
"371","DNAI1","r33_r34"
"372","CCDC17","r33_r34"
"373","PIFO","r33_r34"
"374","TFF3","r33_r34"
"375","TNFSF8","r33_r34"
"376","GAS2L2","r33_r34"
"377","CEP41","r33_r34"
"378","ARC","r33_r34"
"379","LOC100507291","r33_r34"
"380","STMND1","r33_r34"
"381","RSPH4A","r33_r34"
"382","CDHR3","r33_r34"
"383","KYNU","r33_r34"
"384","POLR2J2","r33_r34"
"385","MYZAP","r33_r34"
"386","HGF","r33_r34"
"387","CCNG2","r33_r34"
"388","ANKUB1","r33_r34"
"389","AGR3","r33_r34"
"390","UCA1","r33_r34"
"391","ERICH5","r33_r34"
"392","HBG2","r33_r34"
"393","GDPD3","r33_r34"
"394","SNORD89","r33_r34"
"395","CAPSL","r33_r34"
"396","CCDC103","r33_r34"
"397","SMYD2","r33_r34"
"398","C21orf59","r33_r34"
"399","LACTB","r33_r34"
"400","SNX18","r33_r34"
"401","SEMA4D","r33_r34"
"402","IFT122","r33_r34"
"403","DRC1","r33_r34"
"404","LOC105747689","r33_r34"
"405","KCNJ15","r33_r34"
"406","C21orf58","r33_r34"
"407","NCCRP1","r33_r34"
"408","ROPN1L","r33_r34"
"409","C9orf9","r33_r34"
"410","EFCAB1","r33_r34"
"411","FAM157C","r33_r34"
"412","GLB1L","r33_r34"
"413","LRRC71","r33_r34"
"414","ARL11","r33_r34"
"415","DIXDC1","r33_r34"
"416","ARMC4","r33_r34"
"417","PPP1R32","r33_r34"
"418","FGFBP2","r33_r34"
"419","AK8","r33_r34"
"420","KIF6","r33_r34"
"421","CELF2-AS1","r33_r34"
"422","PPP1R12A","r33_r34"
"423","RNF149","r33_r34"
"424","LPAL2","r33_r34"
"425","YOD1","r33_r34"
"426","LINC00282","r33_r34"
"427","SLC38A8","r33_r34"
"428","CRISPLD2","r33_r34"
"429","ODF2","r33_r34"
"430","TCTN1","r33_r34"
"431","C10orf105","r33_r34"
"432","FAM92B","r33_r34"
"433","ST6GALNAC3","r33_r34"
"434","ALOX12","r33_r34"
"435","HS3ST3B1","r33_r34"
"436","ANKRD54","r33_r34"
"437","RSPH9","r33_r34"
"438","NUDC","r33_r34"
"439","CCDC89","r33_r34"
"440","SERPINF1","r33_r34"
"441","TPPP","r33_r34"
"442","LRGUK","r33_r34"
"443","DNAH2","r33_r34"
"444","TLR8","r33_r34"
"445","FANK1","r33_r34"
"446","CCDC96","r33_r34"
"447","ACSL1","r33_r34"
"448","CFAP74","r33_r34"
"449","TTLL6","r33_r34"
"450","DCDC2","r33_r34"
"451","PRUNE2","r33_r34"
"452","RBM24","r33_r34"
"453","GPR135","r33_r34"
"454","ABCC6P1","r33_r34"
"455","CD163","r33_r34"
"456","GRM7","r33_r34"
"457","TTLL9","r33_r34"
"458","PCYT1B","r33_r34"
"459","SLC38A5","r33_r34"
"460","TRIM25","r33_r34"
"461","TTC26","r33_r34"
"462","LRRC34","r33_r34"
"463","AGBL2","r33_r34"
"464","NABP1","r33_r34"
"465","NFKBIZ","r33_r34"
"466","CFAP54","r33_r34"
"467","C16orf71","r33_r34"
"468","ARX","r33_r34"
"469","PDP1","r33_r34"
"470","RCAN3AS","r33_r34"
"471","NRAV","r33_r34"
"472","CARD8","r33_r34"
"473","PPP1R3B","r33_r34"
"474","MIR6884","r33_r34"
"475","PTK6","r33_r34"
"476","LOC100272216","r33_r34"
"477","SPATA17","r33_r34"
"478","LOC100101148","r33_r34"
"479","PSTPIP2","r33_r34"
"480","CFAP45","r33_r34"
"481","MMRN2","r33_r34"
"482","BTG1","r33_r34"
"483","MERTK","r33_r34"
"484","PACRG","r33_r34"
"485","ECT2L","r33_r34"
"486","DAW1","r33_r34"
"487","LOC541473","r33_r34"
"488","PRB1","r33_r34"
"489","GAS8","r33_r34"
"490","CHST15","r33_r34"
"491","IQCD","r33_r34"
"492","AK7","r33_r34"
"493","NWD1","r33_r34"
"494","NUP62CL","r33_r34"
"495","ARG1","r33_r34"
"496","GEM","r33_r34"
"497","STS","r33_r34"
"498","TINAGL1","r33_r34"
"499","CFAP57","r33_r34"
"500","SH3TC2","r33_r34"
"501","SPRY4","r33_r34"
"502","MMP2","r33_r34"
"503","PZP","r33_r34"
"504","LOC100131257","r33_r34"
"505","EFHC1","r33_r34"
"506","OSBPL8","r33_r34"
"507","HBG1","r33_r34"
"508","TUSC3","r33_r34"
"509","PTPRJ","r33_r34"
"510","C16orf46","r33_r34"
"511","DNAAF2","r33_r34"
"512","C9orf117","r33_r34"
"513","CTH","r33_r34"
"514","MORN1","r33_r34"
"515","FABP6","r33_r34"
"516","RAG2","r33_r34"
"517","BBS5","r33_r34"
"518","LRRC74B","r33_r34"
"519","IFRD1","r33_r34"
"520","TCTN2","r33_r34"
"521","LOC727896","r33_r34"
"522","DUSP10","r33_r34"
"523","DCDC2B","r33_r34"
"524","SPATA17-AS1","r33_r34"
"525","CCDC33","r33_r34"
"526","DNAI2","r33_r34"
"527","DZIP1L","r33_r34"
"528","AGPAT9","r33_r34"
"529","SLC23A1","r33_r34"
"530","SSH2","r33_r34"
"531","TTC16","r33_r34"
"532","RHBDL2","r33_r34"
"533","VWA3A","r33_r34"
"534","EFCAB6","r33_r34"
"535","WDR66","r33_r34"
"536","PIK3CG","r33_r34"
"537","LMNB1","r33_r34"
"538","DTX3","r33_r34"
"539","LOC442028","r33_r34"
"540","ZSCAN5A","r33_r34"
"541","BCL2L11","r33_r34"
"542","LOC100505817","r33_r34"
"543","ANOS1","r33_r34"
"544","C20orf85","r33_r34"
"545","DNAAF3","r33_r34"
"546","ASAH1","r33_r34"
"547","PPP1R42","r33_r34"
"548","DTHD1","r33_r34"
"549","ARMC9","r33_r34"
"550","CDKN2A","r33_r34"
"551","PPP1R26-AS1","r33_r34"
"552","SCCPDH","r33_r34"
"553","CC2D2A","r33_r34"
"554","LOC100132078","r33_r34"
"555","SLFN13","r33_r34"
"556","C4orf22","r33_r34"
"557","ZC3HAV1L","r33_r34"
"558","VSIG10L","r33_r34"
"559","CCDC81","r33_r34"
"560","DNAH17","r33_r34"
"561","CCDC60","r33_r34"
"562","MOK","r33_r34"
"563","C9orf116","r33_r34"
"564","LOC100129175","r33_r34"
"565","CALB1","r33_r34"
"566","SERTAD4-AS1","r33_r34"
"567","LOC200772","r33_r34"
"568","IL7R","r33_r34"
"569","SNTN","r33_r34"
"570","MEGF9","r33_r34"
"571","EFHC2","r33_r34"
"572","FMO6P","r33_r34"
"573","FAM104B","r33_r34"
"574","CES4A","r33_r34"
"575","SPP1","r33_r34"
"576","PRR18","r33_r34"
"577","DPCD","r33_r34"
"578","C2orf70","r33_r34"
"579","LINC00492","r33_r34"
"580","ATP11A","r33_r34"
"581","LOC100506844","r33_r34"
"582","MORN3","r33_r34"
"583","IFT46","r33_r34"
"584","MPDZ","r33_r34"
"585","RABL2B","r33_r34"
"586","RPL23AP87","r33_r34"
"587","LOC440895","r33_r34"
"588","LOC100288570","r33_r34"
"589","C9orf135","r33_r34"
"590","CALHM3","r33_r34"
"591","AKAP14","r33_r34"
"592","NME5","r33_r34"
"593","BTG4","r33_r34"
"594","CIPC","r33_r34"
"595","DNAH12","r33_r34"
"596","SLC4A8","r33_r34"
"597","ANKRD36B","r33_r34"
"598","USP2-AS1","r33_r34"
"599","PLEKHM1P","r33_r34"
"600","ANKRD66","r33_r34"
"601","TBX3","r33_r34"
"602","FAM179A","r33_r34"
"603","C6orf165","r33_r34"
"604","RP1","r33_r34"
"605","CLDN17","r33_r34"
"606","MS4A14","r33_r34"
"607","IZUMO1","r33_r34"
"608","LOC646903","r33_r34"
"609","LINC00887","r33_r34"
"610","TULP3","r33_r34"
"611","CEACAM16","r33_r34"
"612","HEPH","r33_r34"
"613","ZSCAN12P1","r33_r34"
"614","ZNF114","r33_r34"
"615","LBR","r33_r34"
"616","LPL","r33_r34"
"617","PRR29","r33_r34"
"618","TAC1","r33_r34"
"619","LRRC46","r33_r34"
"620","KNDC1","r33_r34"
"621","EFHB","r33_r34"
"622","HRH1","r33_r34"
"623","PRDM5","r33_r34"
"624","MARCH10","r33_r34"
"625","LRP2BP","r33_r34"
"626","CYP4F3","r33_r34"
"627","RUVBL1","r33_r34"
"628","FAM47E-STBD1","r33_r34"
"629","C1orf87","r33_r34"
"630","CFAP46","r33_r34"
"631","E2F3","r33_r34"
"632","C17orf97","r33_r34"
"633","WDR86-AS1","r33_r34"
"634","ANKRD34B","r33_r34"
"635","BICC1","r33_r34"
"636","HCG14","r33_r34"
"637","DYDC2","r33_r34"
"638","CFAP43","r33_r34"
"639","ZEB2-AS1","r33_r34"
"640","NRXN3","r33_r34"
"641","RGL4","r33_r34"
"642","HPSE","r33_r34"
"643","CCDC170","r33_r34"
"644","IFT22","r33_r34"
"645","NEK10","r33_r34"
"646","RGS22","r33_r34"
"647","FAM182B","r33_r34"
"648","WDR54","r33_r34"
"649","ANKFN1","r33_r34"
"650","LINC01600","r33_r34"
"651","LINC00882","r33_r34"
"652","DUSP18","r33_r34"
"653","EGFLAM","r33_r34"
"654","ENO4","r33_r34"
"655","DERL3","r33_r34"
"656","HBD","r33_r34"
"657","DLEC1","r33_r34"
"658","APOBEC4","r33_r34"
"659","C10orf107","r33_r34"
"660","C11orf88","r33_r34"
"661","LRRC36","r33_r34"
"662","OTUB2","r33_r34"
"663","TEX26","r33_r34"
"664","OSCP1","r33_r34"
"665","CYP2A6","r33_r34"
"666","TTC7B","r33_r34"
"667","MYH1","r33"
"668","HTR1B","r33"
"669","DSC2","r33"
"670","TGM5","r33"
"671","SLAMF7","r33"
"672","XKR3","r33"
"673","PRRT3","r33"
"674","FCGR1C","r33"
"675","ANKRD22","r33"
"676","CD300E","r33"
"677","CCL2","r33"
"678","C4orf32","r33"
"679","IFIT3","r33"
"680","C10orf99","r33"
"681","LKAAEAR1","r33"
"682","CASP1","r33"
"683","MPEG1","r33"
"684","CLCA4","r33"
"685","LOC441178","r33"
"686","KRT14","r33"
"687","SAMD9L","r33"
"688","TMPRSS11B","r33"
"689","BLNK","r33"
"690","LINC01587","r33"
"691","DSG3","r33"
"692","GDNF","r33"
"693","ACE2","r33"
"694","HN1L","r33"
"695","DSC3","r33"
"696","ENDOU","r33"
"697","SHISA8","r33"
"698","LIPM","r33"
"699","PPP1R16B","r33"
"700","SLC40A1","r33"
"701","LMOD2","r33"
"702","SERPINA11","r33"
"703","SCUBE2","r33"
"704","KIAA1462","r33"
"705","MARCH1","r33"
"706","MS4A6A","r33"
"707","MCOLN2","r33"
"708","CRAT37","r33"
"709","KCNJ16","r33"
"710","ZBP1","r33"
"711","SRD5A3","r33"
"712","RDH12","r33"
"713","LINC00888","r33"
"714","IRF1","r33"
"715","PDGFRB","r33"
"716","PI15","r33"
"717","CYSLTR1","r33"
"718","CXorf36","r33"
"719","FAM105A","r33"
"720","TPSB2","r33"
"721","TRANK1","r33"
"722","HCG22","r33"
"723","LILRB4","r33"
"724","CXorf65","r33"
"725","HSPA6","r33"
"726","SLC1A3","r33"
"727","MARCKS","r33"
"728","ZNF292","r33"
"729","TUBA3FP","r33"
"730","OLFM4","r33"
"731","BEAN1","r33"
"732","FAM49A","r33"
"733","KRT10","r33"
"734","HIF3A","r33"
"735","TPSAB1","r33"
"736","LIPN","r33"
"737","SELL","r33"
"738","APLNR","r33"
"739","RPL21P44","r33"
"740","CASP4","r33"
"741","CEACAM6","r33"
"742","FOXC1","r33"
"743","RSAD2","r33"
"744","CAMK2N1","r33"
"745","NMI","r33"
"746","SDK1","r33"
"747","ADCY7","r33"
"748","SPARC","r33"
"749","HIF1A","r33"
"750","COL15A1","r33"
"751","MAGED4","r33"
"752","MAGED4B","r33"
"753","LINC00643","r33"
"754","RICTOR","r33"
"755","NWD2","r33"
"756","P2RX7","r33"
"757","CCBL1","r33"
"758","XYLT1","r33"
"759","PRR15","r33"
"760","DUOXA2","r33"
"761","KRTAP4-6","r33"
"762","ANKRD12","r33"
"763","LILRB1","r33"
"764","PPP2R2C","r33"
"765","TRPV3","r33"
"766","FAS","r33"
"767","BARX2","r33"
"768","COL6A1","r33"
"769","AMICA1","r33"
"770","LILRA5","r33"
"771","NIPAL4","r33"
"772","PTPRE","r33"
"773","MGAT4A","r33"
"774","CCNJL","r33"
"775","NEFL","r33"
"776","CD48","r33"
"777","LMO2","r33"
"778","SCLT1","r33"
"779","LYST","r33"
"780","WIPF1","r33"
"781","VCAN","r33"
"782","CRABP2","r33"
"783","ITPR2","r33"
"784","FLJ44635","r33"
"785","C12orf29","r33"
"786","BAZ2B","r33"
"787","LINC00094","r33"
"788","RAB8B","r33"
"789","CPNE8","r33"
"790","LCP1","r33"
"791","MALT1","r33"
"792","CCNE2","r33"
"793","JAK3","r33"
"794","TSPAN16","r33"
"795","USP25","r33"
"796","TM6SF1","r33"
"797","ZFAND6","r33"
"798","ZNF764","r33"
"799","SLC25A37","r33"
"800","GPCPD1","r33"
"801","S100A8","r33"
"802","TMEM252","r33"
"803","MX2","r33"
"804","LOH12CR2","r33"
"805","LINC01270","r33"
"806","REL","r33"
"807","SORBS1","r33"
"808","SNAI1","r33"
"809","TPRG1","r33"
"810","LRWD1","r33"
"811","PECAM1","r33"
"812","MGAM","r33"
"813","LOC100132077","r33"
"814","TMPRSS11F","r33"
"815","ADAMDEC1","r33"
"816","PLVAP","r33"
"817","CXCR2","r33"
"818","PHACTR3","r33"
"819","BCL7A","r33"
"820","MYOM3","r33"
"821","TMEM17","r33"
"822","FCGR2A","r33"
"823","MRVI1","r33"
"824","TNFAIP2","r33"
"825","GLS","r33"
"826","ARRB2","r33"
"827","TMEM106B","r33"
"828","CACNA1I","r33"
"829","STK17B","r33"
"830","KATNBL1","r33"
"831","FPR3","r33"
"832","XRCC4","r33"
"833","KRT34","r33"
"834","LINC01250","r33"
"835","SP110","r33"
"836","SEMG2","r33"
"837","ARL5B","r33"
"838","APBB1IP","r33"
"839","KIAA0226L","r33"
"840","CRISP3","r33"
"841","PLSCR1","r33"
"842","UNC5A","r33"
"843","WDR90","r33"
"844","RHPN1-AS1","r33"
"845","RASGEF1B","r33"
"846","KIAA0040","r33"
"847","THAP9-AS1","r33"
"848","LINC00638","r33"
"849","HCN4","r33"
"850","GBP1","r33"
"851","SLC41A1","r33"
"852","INHBB","r33"
"853","ID2","r33"
"854","ITM2B","r33"
"855","BPIFB1","r33"
"856","PAG1","r33"
"857","LILRB2","r33"
"858","CLEC4D","r33"
"859","CDC20B","r33"
"860","CSGALNACT2","r33"
"861","RNF222","r33"
"862","SOD2","r33"
"863","SLC16A10","r33"
"864","SIRPD","r33"
"865","MFAP3L","r33"
"866","MOXD1","r33"
"867","TFEC","r33"
"868","MPP1","r33"
"869","LRIF1","r33"
"870","PYGM","r33"
"871","KRR1","r33"
"872","ALOX5","r33"
"873","ARHGAP9","r33"
"874","BEAN1-AS1","r33"
"875","DTX1","r33"
"876","FAM126A","r33"
"877","TMCC3","r33"
"878","C1orf177","r33"
"879","PIK3AP1","r33"
"880","GPR65","r33"
"881","CSF1R","r33"
"882","MUC22","r33"
"883","BCL10","r33"
"884","RAB27B","r33"
"885","RASSF2","r33"
"886","RGS18","r33"
"887","CCL7","r33"
"888","GNAI3","r33"
"889","ARHGAP30","r33"
"890","COL17A1","r33"
"891","TMEM200A","r33"
"892","USP2","r33"
"893","ZG16B","r33"
"894","LOC100128531","r33"
"895","PLCG2","r33"
"896","PICALM","r33"
"897","ARHGAP25","r33"
"898","IL18R1","r33"
"899","ASAP1","r33"
"900","LYN","r33"
"901","FCHO2","r33"
"902","HAL","r33"
"903","ADGRL2","r33"
"904","TPTE2P3","r33"
"905","CTSV","r33"
"906","GTDC1","r33"
"907","IKBIP","r33"
"908","ZNF853","r33"
"909","CLEC1A","r33"
"910","RNASE6","r33"
"911","PARVG","r33"
"912","LOC100288152","r33"
"913","LOC100130417","r33"
