"","genes","res"
"915","GTDC1","r33"
"916","FRMD4B","r33"
"917","RASA2","r33"
"918","PTPN12","r33"
"919","CAPZA2","r33"
"920","TUBB4B","r33"
"921","UNC5A","r33"
"922","RPL23AP87","r33"
"923","LPAR6","r33"
"924","PRKCB","r33"
"925","RUVBL2","r33"
"926","CXorf21","r33"
"927","ATP2B1","r33"
"928","TMEM45B","r33"
"929","LOC100128531","r33"
"930","RAB36","r33"
"931","ANTXR2","r33"
"932","FAM45B","r33"
"933","HSPB8","r33"
"934","GAMT","r33"
"935","VNN1","r33"
"936","MOXD1","r33"
"937","DMRT2","r33"
"938","C1orf177","r33"
"939","CAPZA1","r33"
"940","CLEC1A","r33"
"941","UNC119B","r33"
"942","ATP13A4","r33"
"943","ABCA1","r33"
"944","DOK3","r33"
"945","LAMP2","r33"
"946","KHDC1L","r33"
"947","ECM1","r33"
"948","RAPGEF6","r33"
"949","OVOL1","r33"
"950","TAOK3","r33"
"951","DOCK10","r33"
"952","EGR2","r33"
"953","ALOX12B","r33"
"954","IFNGR1","r33"
"955","PHF20L1","r33"
"956","ROCK1","r33"
"957","SNX6","r33"
"958","FAM157B","r33"
"959","KRT6B","r33"
"960","CAPNS2","r33"
"961","CEP135","r33"
"962","NFIL3","r33"
"963","CMKLR1","r33"
"964","INA","r33"
"965","GAB1","r33"
"966","PXK","r33"
"967","POLB","r33"
"968","LINC01002","r33"
"969","ADAMTS1","r33"
"970","CXCL6","r33"
"971","MICAL1","r33"
"972","S100A12","r33"
"973","KRTAP9-8","r33"
"974","KRT6C","r33"
"975","MID1IP1-AS1","r33"
"976","ACTN2","r33"
"977","ATHL1","r33"
"978","SYBU","r33"
"979","MS4A4A","r33"
"980","HBEGF","r33"
"981","HECA","r33"
"982","TPTE2P3","r33"
"983","INMT-FAM188B","r33"
"984","RAB21","r33"
"985","FGD3","r33"
"986","REEP2","r33"
"987","WDR73","r33"
"988","MTSS1","r33"
"989","SLC12A6","r33"
"990","PTENP1","r33"
"991","ZFHX2","r33"
"992","PCDH10","r33"
"993","TOPORS","r33"
"994","MIR8085","r33"
"995","GCNT7","r33"
"996","C22orf23","r33"
"997","APOBEC3A_B","r33"
"998","ITPRIP","r33"
"999","IZUMO1","r33"
"1000","MAP4K4","r33"
"1001","PBX2","r33"
"1002","PIM1","r33"
"1003","SLC9A7","r33"
"1004","FAM188B","r33"
"1005","SPOPL","r33"
"1006","FCER1G","r33"
"1007","ARHGDIB","r33"
"1008","SECTM1","r33"
"1009","PDE1B","r33"
"1010","RCBTB2","r33"
"1011","PRRT3-AS1","r33"
"1012","WTAP","r33"
"1013","MOSPD2","r33"
"1014","APC","r33"
"1015","IL10RA","r33"
"1016","PDE4B","r33"
"1017","PRPH","r33"
"1018","ALDH1A2","r33"
"1019","LOC101929319","r33"
"1020","HAVCR2","r33"
"1021","GPR141","r33"
"1022","DNTTIP2","r33"
"1023","IQCC","r33"
"1024","MIR22HG","r33"
"1025","SPNS2","r33"
"1026","MSL1","r33"
"1027","MCEMP1","r33"
"1028","ITSN2","r33"
"1029","GPR156","r33"
"1030","PLAGL1","r33"
"1031","HMOX1","r33"
"1032","SDCBP","r33"
"1033","TLR7","r33"
"1034","IFT52","r33"
"1035","ADAMTSL4","r33"
"1036","PAX6","r33"
"1037","VCPKMT","r33"
"1038","IFT140","r33"
"1039","IFI30","r33"
"1040","CYP2B6","r33"
"1041","PSG4","r33"
"1042","LINC01271","r33"
"1043","CDYL","r33"
"1044","STX11","r33"
"1045","APBB1IP","r33"
"1046","CCR1","r33"
"1047","CST1","r34"
"1048","HBA1","r34"
"1049","TMEM232","r34"
"1050","WDR78","r34"
"1051","HBA2","r34"
"1052","CFAP53","r34"
"1053","GIPC2","r34"
"1054","CST2","r34"
"1055","MYCT1","r34"
"1056","LMNTD1","r34"
"1057","ERICH6-AS1","r34"
"1058","DNAH11","r34"
"1059","DNAH6","r34"
"1060","PIH1D2","r34"
"1061","C4orf47","r34"
"1062","IQCG","r34"
"1063","DNAH5","r34"
"1064","CCDC181","r34"
"1065","STK33","r34"
"1066","TEKT3","r34"
"1067","CFAP70","r34"
"1068","LINC00326","r34"
"1069","MAATS1","r34"
"1070","FAM227B","r34"
"1071","DNAH7","r34"
"1072","CST4","r34"
"1073","TMEM212","r34"
"1074","WDR63","r34"
"1075","HBB","r34"
"1076","SAMD15","r34"
"1077","SPATA4","r34"
"1078","IFT57","r34"
"1079","ADGB","r34"
"1080","ENKUR","r34"
"1081","FSIP1","r34"
"1082","ABCD2","r34"
"1083","ERBB4","r34"
"1084","MRPS31","r34"
"1085","FAM81A","r34"
"1086","IQUB","r34"
"1087","MORN5","r34"
"1088","ULK4","r34"
"1089","ZBBX","r34"
"1090","CAP2","r34"
"1091","MAT1A","r34"
"1092","SPAG17","r34"
"1093","LINC01564","r34"
"1094","LCA5L","r34"
"1095","LRRC49","r34"
"1096","CLUAP1","r34"
"1097","WDR49","r34"
"1098","RP1","r34"
"1099","ACYP1","r34"
"1100","MAP3K19","r34"
"1101","ARMC2","r34"
"1102","TTC29","r34"
"1103","REEP1","r34"
"1104","LZTFL1","r34"
"1105","ALS2CR12","r34"
"1106","FHAD1","r34"
"1107","KATNAL2","r34"
"1108","DNAJC9-AS1","r34"
"1109","CRISP2","r34"
"1110","NCALD","r34"
"1111","CCDC176","r34"
"1112","TCTEX1D1","r34"
"1113","TSPAN19","r34"
"1114","FAM81B","r34"
"1115","NEK5","r34"
"1116","SPEF2","r34"
"1117","MLF1","r34"
"1118","COL28A1","r34"
"1119","CFAP47","r34"
"1120","RIIAD1","r34"
"1121","NEK11","r34"
"1122","LOC101928710","r34"
"1123","FAM227A","r34"
"1124","DZIP3","r34"
"1125","CCDC173","r34"
"1126","ERICH3","r34"
"1127","SPTBN5","r34"
"1128","UBD","r34"
"1129","TMEM67","r34"
"1130","C20orf202","r34"
"1131","TXLNB","r34"
"1132","CCDC37","r34"
"1133","DPY19L2P2","r34"
"1134","LINC00882","r34"
"1135","FILIP1","r34"
"1136","LINC01571","r34"
"1137","DYNLRB2","r34"
"1138","MYCBPAP","r34"
"1139","TBC1D19","r34"
"1140","KIF4A","r34"
"1141","CCDC162P","r34"
"1142","LINC01267","r34"
"1143","FAM183A","r34"
"1144","SMC2-AS1","r34"
"1145","LRRIQ3","r34"
"1146","RAET1E","r34"
"1147","ERICH3-AS1","r34"
"1148","PPP1R7","r34"
"1149","EPPIN-WFDC6","r34"
"1150","IQCH","r34"
"1151","STX2","r34"
"1152","MEAF6","r34"
"1153","ZNF833P","r34"
"1154","MDH1B","r34"
"1155","ENO2","r34"
"1156","TMEM190","r34"
"1157","ALS2CL","r34"
"1158","KAAG1","r34"
"1159","GPX8","r34"
"1160","DYX1C1","r34"
"1161","LRRIQ1","r34"
"1162","LOC101060498","r34"
"1163","PLBD1-AS1","r34"
"1164","CD19","r34"
"1165","SALL4","r34"
"1166","MEIG1","r34"
"1167","GNA14","r34"
"1168","ZNF185","r34"
"1169","WFDC6","r34"
"1170","C1orf228","r34"
"1171","LOC100422737","r34"
"1172","DCDC5","r34"
"1173","DNAJB13","r34"
"1174","CRIP3","r34"
"1175","CCL15","r34"
"1176","MNS1","r34"
"1177","IRAK1BP1","r34"
"1178","ABCC6P2","r34"
"1179","TRIP13","r34"
"1180","MGC34796","r34"
"1181","CCL15-CCL14","r34"
"1182","NPAS2","r34"
"1183","RPGRIP1L","r34"
"1184","FAM134B","r34"
"1185","AADACL2-AS1","r34"
"1186","WDR38","r34"
"1187","FAM161A","r34"
"1188","DUSP19","r34"
"1189","ALPK3","r34"
"1190","DCDC1","r34"
"1191","VEGFA","r34"
"1192","FAM181A-AS1","r34"
"1193","SCG3","r34"
"1194","CRNDE","r34"
"1195","CNTF","r34"
"1196","C6orf15","r34"
"1197","COL21A1","r34"
"1198","FRMPD2","r34"
"1199","RFX3","r34"
"1200","IGLL5","r34"
"1201","C8orf74","r34"
"1202","LINC00240","r34"
"1203","CAPS","r34"
"1204","LOC100129534","r34"
"1205","GDPD4","r34"
"1206","CCDC67","r34"
"1207","OXTR","r34"
"1208","TMEM255A","r34"
"1209","FER1L5","r34"
"1210","TTC39C-AS1","r34"
"1211","CDH26","r34"
"1212","ZNF483","r34"
"1213","SLC44A2","r34"
"1214","LRRC10B","r34"
"1215","C16orf93","r34"
"1216","C14orf142","r34"
"1217","SERPINB10","r34"
"1218","STAP1","r34"
"1219","LOC100505841","r34"
"1220","TREML1","r34"
"1221","LOC101928973","r34"
"1222","FSD1L","r34"
"1223","DAPK1","r34"
"1224","GLIS3","r34"
"1225","ESPL1","r34"
"1226","NHLRC4","r34"
"1227","ZMYND10","r34"
"1228","OVOL1-AS1","r34"
"1229","CCDC153","r34"
"1230","STOX1","r34"
"1231","WDPCP","r34"
"1232","CDKL2","r34"
"1233","AKR1B10","r34"
"1234","CCDC78","r34"
"1235","KATNAL1","r34"
"1236","C10orf67","r34"
"1237","CD164L2","r34"
"1238","CCDC42B","r34"
"1239","CDKL1","r34"
"1240","NBEAL2","r34"
"1241","TPPP3","r34"
"1242","CCDC114","r34"
"1243","IDNK","r34"
"1244","ARL3","r34"
"1245","TTC41P","r34"
"1246","ARHGEF10L","r34"
"1247","MYB","r34"
"1248","CLEC12A","r34"
"1249","ZEB2-AS1","r34"
"1250","CFAP36","r34"
"1251","HIST1H2BN","r34"
"1252","MIR7106","r34"
"1253","PPP1R36","r34"
"1254","WDR5B","r34"
"1255","CATSPERD","r34"
"1256","WDR92","r34"
"1257","TMEM180","r34"
"1258","C9orf24","r34"
"1259","GFI1B","r34"
"1260","CLDN25","r34"
"1261","LOC102724094","r34"
"1262","CTXN1","r34"
"1263","CASC2","r34"
"1264","DNAL1","r34"
"1265","TIGD4","r34"
"1266","NEK2","r34"
"1267","NLRP10","r34"
"1268","C2orf81","r34"
"1269","CASC1","r34"
"1270","PPOX","r34"
"1271","PCDHB14","r34"
"1272","SLC38A6","r34"
"1273","PLCH1","r34"
"1274","GUCY2F","r34"
"1275","C2orf40","r34"
"1276","GALK2","r34"
"1277","MOBP","r34"
"1278","TCEAL3","r34"
"1279","WDR31","r34"
"1280","RDH10","r34"
"1281","CALML4","r34"
"1282","EGFLAM","r34"
"1283","FAM189A2","r34"
"1284","ANKRD42","r34"
"1285","CAMK2G","r34"
"1286","POLR2J3","r34"
"1287","LINC01552","r34"
"1288","RAPGEF3","r34"
"1289","MXRA8","r34"
"1290","ANKRD34B","r34"
"1291","KCTD1","r34"
"1292","MYLK","r34"
"1293","MIR5004","r34"
"1294","CARD14","r34"
"1295","EML2-AS1","r34"
"1296","PRLR","r34"
"1297","PART1","r34"
"1298","ASB9","r34"
"1299","LINC00423","r34"
"1300","TTC22","r34"
"1301","GRN","r34"
"1302","TMEM107","r34"
"1303","CERKL","r34"
"1304","SPATA6L","r34"
"1305","TNRC6C-AS1","r34"
"1306","TCP11","r34"
"1307","LOC100128317","r34"
"1308","IFT81","r34"
"1309","SPATA6","r34"
"1310","CRIP1","r34"
"1311","GSDMA","r34"
"1312","ABCC6","r34"
"1313","SLC22A15","r34"
"1314","LGMN","r34"
"1315","CSPP1","r34"
"1316","TRAF3IP1","r34"
"1317","C7orf57","r34"
"1318","SKAP1","r34"
"1319","TMCO4","r34"
"1320","CCDC13","r34"
"1321","HHAT","r34"
"1322","UCKL1-AS1","r34"
"1323","MED15P9","r34"
"1324","CLMN","r34"
"1325","SLC7A2","r34"
"1326","SPATA7","r34"
"1327","CD38","r34"
"1328","MUC12","r34"
"1329","LOC101929450","r34"
