"genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","results"
"DLGAP1",116.148535552221,0.353816524177318,0.0888786415331275,3.980894825507,6.8656324092441e-05,0.047327092741056,"res6"
"PIPOX",48.8155618025739,0.207109118106487,0.0521866273477848,3.96862431301145,7.22887436602976e-05,0.0483654217877779,"res6"
"MYL7",63.9044745546531,2.09309037831662,0.307087808819845,6.81593445979013,9.3652987985721e-12,1.63068582680737e-07,"res7"
"RPS6",23319.0222717176,0.0938141759334721,0.018037567810528,5.20104356191057,1.98172642506441e-07,0.00172529102566107,"res7"
"RYR2",58.2416726385427,0.525847571557821,0.103064958236738,5.10209852654247,3.35907785400393e-07,0.00194960878646388,"res7"
"ANKRD37",949.042382329515,0.215708012040376,0.0432851593860348,4.98341729821539,6.24710212919544e-07,0.00217549084547102,"res7"
"LOC100506990",939.833357231713,0.220757909698942,0.0442132051556669,4.99303112999142,5.9438972532021e-07,0.00217549084547102,"res7"
"PPP1R7",3096.70895958576,0.0770280323604961,0.0158935712518645,4.8464898882597,1.25664989855719e-06,0.00364679800561297,"res7"
"DYNLT1",9773.40648139577,0.134850947437756,0.0282203590204716,4.77849864843791,1.76608950120299e-06,0.00439302148499235,"res7"
"HSPB11",1345.55769024473,0.146938595549223,0.0319007773729516,4.60611331916354,4.10264876045452e-06,0.00875985300864298,"res7"
"TFF3",16751.2575855551,0.331224883905017,0.0725814245721804,4.56349383960661,5.03092867484665e-06,0.00875985300864298,"res7"
"FGFBP2",44.7468348513467,0.264356026844675,0.057774461583849,4.57565539509202,4.74731431833496e-06,0.00875985300864298,"res7"
"LOC400684",47.5908732483817,0.246959209723194,0.0556087234298345,4.44101562652845,8.9535292020719e-06,0.0141726227696796,"res7"
"RPL21",12679.5007065214,0.10183059460741,0.023560279857126,4.32213009458842,1.54530022436273e-05,0.0207211311208323,"res7"
"RPL21P28",12679.365931092,0.101827327286342,0.023560895214357,4.32187853474654,1.54706354566287e-05,0.0207211311208323,"res7"
"DES",104.20533953408,0.784990657119308,0.183132731471083,4.28645742797354,1.81544973895305e-05,0.0218453415377241,"res7"
"TBCA",1824.30031598869,0.0829544094845328,0.0193888548279225,4.27845843505246,1.88192122137526e-05,0.0218453415377241,"res7"
"FAM86B2",120.511503447346,0.217623049434306,0.0511321859910683,4.25608733943664,2.08035466540549e-05,0.0226394596462753,"res7"
"LY6G5C",177.714915452221,0.201095935489043,0.0479901478490949,4.19035874032705,2.78513762486462e-05,0.0285263625436134,"res7"
"RPS3A",14467.7324169922,0.100916869297894,0.0242793271665584,4.15649365427613,3.23169143871273e-05,0.0312612285171478,"res7"
"MEAF6",2504.60959306564,0.06359313247101,0.0153606921992336,4.13999132631424,3.47318953587525e-05,0.0318290401045578,"res7"
"CASQ2",30.4719808645348,0.507029028420267,0.124184754875463,4.08286048419335,4.44847315039079e-05,0.0354262548161129,"res7"
"COL4A2-AS1",21.2169372696616,0.250832859472471,0.0617734869019335,4.06052615858763,4.89622509433775e-05,0.0354262548161129,"res7"
"MED31",779.369328342346,0.096594718776505,0.0238117641151583,4.05659649194214,4.97929966541555e-05,0.0354262548161129,"res7"
"DPY30",1729.21437738846,0.107040013017007,0.0264190797582491,4.0516177700544,5.08647122905366e-05,0.0354262548161129,"res7"
"FZD5",1670.28238366672,-0.106495209763199,0.026046571906237,-4.08864591265839,4.33898582177036e-05,0.0354262548161129,"res7"
"TM4SF19-TCTEX1D2",395.926779877506,0.232903698640885,0.0571953649294913,4.07207295430323,4.65965788722722e-05,0.0354262548161129,"res7"
"UFC1",5811.17315898867,0.120629445598372,0.0299629046064774,4.02595967189022,5.67434141462743e-05,0.0380006279659588,"res7"
"SLIT1",197.429313459132,0.242401638567892,0.060784299923391,3.98789883034601,6.66610780034679e-05,0.0411829729509001,"res7"
"LOC100288798",209.200200032773,0.218907985288463,0.0550981295482296,3.97305656441285,7.0956190473639e-05,0.0411829729509001,"res7"
"SERPINF1",5921.04713221205,0.204375491352116,0.0512072072177851,3.99114699778302,6.57545062391104e-05,0.0411829729509001,"res7"
"CYP3A5",1755.93457760282,-0.263447540654806,0.0661936279686819,-3.979953187933,6.89288400841829e-05,0.0411829729509001,"res7"
"SQLE",1854.74841600579,0.163207826637976,0.0413525403780465,3.94674245272294,7.92216947164575e-05,0.0444970370452567,"res7"
"DYNLL1",13503.6700598187,0.140391901707202,0.0359106323813018,3.90948007310232,9.24949846265622e-05,0.0473683138916971,"res7"
"GTF2H5",981.902351429034,0.098988026112025,0.0253074532405327,3.91141791989897,9.17558402846664e-05,0.0473683138916971,"res7"
"RPL7",11794.3672837006,0.0796998753273646,0.0203253235868225,3.92121065068977,8.81051992501165e-05,0.0473683138916971,"res7"
"TRIB3",284.954713091612,0.176660974792795,0.0453131218455355,3.89867145757474,9.67219021519414e-05,0.0481177645791315,"res7"
"RPL22",6834.22147564438,0.0886237199280325,0.0228385618657875,3.88044222963059,0.000104266709500422,0.0493135389708658,"res7"
"CCDC60",881.263061385817,0.171824456137063,0.0442935025232148,3.879224860283,0.000104789854233979,0.0493135389708658,"res7"
"DUOX2",54368.4957529621,-0.144253343485572,0.0300951590882562,-4.79324076880732,1.64108473777359e-06,0.0305422280547043,"res12"
"NPPB",15.8279069637514,4.94759319395449,0.884195299997124,5.59558866007383,2.19874448970536e-08,0.000410571558562682,"res13"
"HBA2",6118.58951096719,-0.851940545520097,0.188198929301627,-4.5268086735748,5.98811085353754e-06,0.0372719979893688,"res13"
"HBA1",2488.33609147716,-0.85137531612281,0.18475750589945,-4.60806889537767,4.06426006291108e-06,0.0372719979893688,"res13"
"NPPB",15.8279069637514,3.50748852133969,0.601538349062976,5.83086436102261,5.51409940057618e-09,0.000103141229287777,"res14"
