"","x"
"535","HELB"
"536","PHACTR2"
"537","MAP1LC3B"
"538","SKAP1"
"539","NPAS2"
"540","DZANK1"
"541","RNF24"
"542","HTATSF1P2"
"543","AMPD2"
"544","BZRAP1"
"545","ARL8B"
"546","RALGPS2"
"547","MRPS31"
"548","NUMB"
"549","PLEK"
"550","HHAT"
"551","PTGIR"
"552","FAM83A-AS1"
"553","IVNS1ABP"
"554","KCNC2"
"555","GPR183"
"556","PELI2"
"557","C14orf132"
"558","CCR5"
"559","CFAP44-AS1"
"560","PPBP"
"561","INPP5E"
"562","PPM1F"
"563","MYB"
"564","PADI1"
"565","NOTCH2"
"566","FER1L5"
"567","SIRPB2"
"568","VSTM2L"
"569","FAM45A"
"570","BNIPL"
"571","CH25H"
"572","IFITM2"
"573","ASPG"
"574","FAM161A"
"575","LSS"
"576","C6orf141"
"577","RPS6KA3"
"578","MYO18B"
"579","CXCL8"
"580","RIMBP2"
"581","PXT1"
"582","TTC32"
"583","BNIP2"
"584","APOBEC3A"
"585","CCL15-CCL14"
"586","JAK2"
"587","IER2"
"588","TGFA"
"589","INPP5D"
"590","NRARP"
"591","ZBTB16"
"592","APOL6"
"593","OSTM1"
"594","BAALC"
"595","NKD1"
"596","VAV1"
"597","DKK1"
"598","PLBD1-AS1"
"599","CD58"
"600","LINC01347"
"601","MIR4680"
"602","WFDC1"
"603","ZNF804A"
"604","MAFF"
"605","ARAP3"
"606","UBR2"
"607","STXBP5"
"608","DENND3"
"609","DCDC1"
"610","SYN1"
"611","CNTN4-AS1"
"612","GRASP"
"613","BPIFC"
"614","TRIP13"
"615","TOE1"
"616","RENBP"
"617","GSDMC"
"618","PSMD6-AS2"
"619","PPP1R15B"
"620","TTC5"
"621","SCARF1"
"622","GNA13"
"623","COQ10B"
"624","STAP1"
"625","RABGEF1"
"626","HPGDS"
"627","FBXW7"
"628","AREG"
"629","SH3PXD2A-AS1"
"630","DEFA1"
"631","DEFA1B"
"632","KRT80"
"633","STK38"
"634","LOC101927018"
"635","IL12RB1"
"636","FPR2"
"637","CLEC12B"
"638","PPP1R7"
"639","LOC100506860"
"640","GIT2"
"641","ITGB8"
"642","LINC00431"
"643","PLXND1"
"644","WDR5B"
"645","HNF1B"
"646","TIFA"
"647","PARP8"
"648","KIAA1109"
"649","SPAG17"
"650","LOC101928865"
"651","SRGN"
"652","LRTOMT"
"653","C11orf96"
"654","ERICH3"
"655","CTSS"
"656","C1orf68"
"657","DDX21"
"658","ADM"
"659","ARNTL"
"660","CLDN25"
"661","ANKRD13A"
"662","MYO5A"
"663","LOC727751"
"664","SNX20"
"665","DPEP2"
"666","CALCOCO2"
"667","ST3GAL6"
"668","GDNF-AS1"
"669","GPX8"
"670","CAMK2B"
"671","SH2D3C"
"672","FMR1"
"673","ITCH"
"674","APAF1"
"675","CD68"
"676","RNF141"
"677","AP5B1"
"678","ENO2"
"679","SPATA33"
"680","MKS1"
"681","MLANA"
"682","MCTP2"
"683","BLZF1"
"684","MAP2K4"
"685","CYP7B1"
"686","FARP1"
"687","RIOK3"
"688","ANKRD50"
"689","ERICH3-AS1"
"690","FOSL1"
"691","CLEC4A"
"692","TSC22D2"
"693","CCDC67"
"694","ZNF200"
"695","ALS2CL"
"696","IDI1"
"697","DENND5A"
"698","OAS3"
"699","RAB5A"
"700","CPVL"
"701","IQGAP1"
"702","SWT1"
"703","STXBP3"
"704","SV2A"
"705","CCL20"
"706","ZFAND2A"
"707","MYO1F"
"708","FAM65B"
"709","GFI1B"
"710","C3AR1"
"711","APOBR"
"712","KLK13"
"713","THEMIS2"
"714","P4HTM"
"715","FAM26F"
"716","TAB2"
"717","CES1"
"718","DCP2"
"719","CARD17"
"720","RNF144A"
"721","SAMD3"
"722","CLEC4E"
"723","KBTBD2"
"724","GNG12-AS1"
"725","RCOR1"
"726","RIMS3"
"727","UBE2W"
"728","CASP8"
"729","DDIAS"
"730","ZYX"
"731","TRIM38"
"732","NRP1"
"733","PLCG1-AS1"
"734","CATSPERB"
"735","TCTEX1D1"
"736","IDI2-AS1"
"737","MYPN"
"738","NFYA"
"739","ADGB"
"740","SLC31A2"
"741","KDM6A"
"742","CREG2"
"743","NEK2"
"744","CTAGE15"
"745","LINC00536"
"746","N4BP1"
"747","ERCC1"
"748","MXRA8"
"749","BTBD11"
"750","CCDC42B"
"751","DNAL1"
"752","ALPK3"
"753","BRWD1"
"754","WIPF3"
"755","IQUB"
"756","AKTIP"
"757","BRWD3"
"758","AIM1L"
"759","TTN"
"760","TNIP3"
"761","NELL2"
"762","C5orf58"
"763","COG7"
"764","DYNLRB2"
"765","PCSK4"
"766","C5orf56"
"767","FAM183A"
"768","LRRC73"
"769","FAM83B"
"770","CDK14"
"771","NBN"
"772","AMOT"
"773","ADGRE3"
"774","MOBP"
"775","GABRE"
"776","CBY1"
"777","TMEM107"
"778","DEFA4"
"779","MAFA"
"780","LOC101927189"
"781","PTPRH"
"782","SIRPA"
"783","LMBRD1"
"784","FAM163A"
"785","NKAPP1"
"786","TBXAS1"
"787","C1RL"
"788","SYN3"
"789","OSER1"
"790","BMP3"
"791","IL17RA"
"792","LINC00326"
"793","KLF7"
"794","IL1A"
"795","MIPEP"
"796","UGDH-AS1"
"797","ARHGEF10L"
"798","SLC2A3"
"799","LRRC56"
"800","TLE3"
"801","KIF7"
"802","ELOVL6"
"803","DKK4"
"804","NHSL2"
"805","MARCO"
"806","CASC2"
"807","LINC01121"
"808","CSRNP1"
"809","PFN2"
"810","SERPINA1"
"811","MMP25"
"812","ITGAM"
"813","NOSTRIN"
"814","CYP4X1"
"815","ARHGAP19"
"816","HNMT"
"817","STK17A"
"818","CALML5"
"819","PLCL2"
"820","AADACL2-AS1"
"821","GSTA2"
"822","S100A7"
"823","FES"
"824","LINC01127"
"825","CREB1"
"826","LZTFL1"
"827","FAM81B"
"828","PGM2"
"829","LOC101929450"
"830","LILRA3"
"831","CMTM6"
"832","ARL3"
"833","TNFRSF1A"
"834","CREM"
"835","CTSL"
"836","PRR29-AS1"
"837","RALB"
"838","SDE2"
"839","SLK"
"840","SRSF12"
"841","HCLS1"
"842","FAM86B2"
"843","GPNMB"
"844","EBNA1BP2"
"845","OAS1"
"846","AMOTL1"
"847","IRX3"
"848","GNB4"
"849","PARP14"
"850","MALL"
"851","KRT3"
"852","MED13"
"853","LAMTOR3"
"854","TBC1D19"
"855","DEFA3"
"856","CSNK1A1L"
"857","BCL2A1"
"858","ABTB1"
"859","EIF2S3"
"860","XPO6"
"861","CYTH4"
"862","FNDC3B"
"863","RAP2C"
"864","CACUL1"
"865","KLF8"
"866","UCP2"
"867","IFIT5"
"868","ANKDD1A"
"869","RAB24"
"870","LOC101927468"
"871","NEMF"
"872","GMFG"
"873","CXCL10"
"874","ZBBX"
"875","USP44"
"876","LOC152225"
"877","FERMT3"
"878","FRMPD2"
"879","SCN4B"
"880","CFLAR-AS1"
"881","NRIP3"
"882","LINC01272"
"883","KCNH3"
"884","WDR93"
"885","SH3BP2"
"886","IRAK1BP1"
"887","KLK1"
"888","C4BPA"
"889","TRIM22"
"890","MICAL2"
"891","TNNI3"
"892","RAC2"
"893","PPP1R36"
"894","YPEL5"
"895","RC3H1"
"896","MAP3K8"
"897","NPC1"
"898","ANKRD53"
"899","ETV7"
"900","ANXA9"
"901","MALAT1"
"902","CAPN9"
"903","ARID5A"
"904","KRT6A"
"905","EMP3"
"906","EPHA2"
"907","FGFR1OP2"
"908","MAATS1"
"909","NOA1"
"910","ADGRG3"
