"","genes","modules"
"5955","ANKRD20A5P","brown"
"5956","CXADRP3","brown"
"5957","POTEC","blue"
"5958","LINC01443","blue"
"5959","LOC644669","blue"
"5960","ROCK1","brown"
"5961","GREB1L","brown"
"5962","ESCO1","brown"
"5963","SNRPD1","brown"
"5964","ABHD3","brown"
"5965","MIR320C1","orangered3"
"5966","MIB1","grey60"
"5967","MIR133A1HG","pink"
"5968","MIR133A1","mediumpurple2"
"5969","MIR1-2","brown"
"5970","GATA6","grey60"
"5971","CTAGE1","brown"
"5972","LOC101927571","brown"
"5973","RBBP8","brown"
"5974","MIR4741","brown"
"5975","RIOK3","brown"
"5976","C18orf8","brown"
"5977","NPC1","brown"
"5978","ANKRD29","brown"
"5979","LAMA3","grey60"
"5980","TTC39C","grey60"
"5981","CABYR","brown"
"5982","OSBPL1A","brown"
"5983","IMPACT","brown"
"5984","LOC729950","skyblue"
"5985","SS18","brown"
"5986","TAF4B","brown"
"5987","LINC01543","steelblue"
"5988","KCTD1","grey60"
"5989","MIR8057","plum2"
"5990","AQP4","brown"
"5991","AQP4-AS1","brown"
"5992","CDH2","antiquewhite4"
"5993","DSC3","cyan"
"5994","DSC2","cyan"
"5995","DSC1","cyan"
"5996","DSG1","cyan"
"5997","DSG1-AS1","cyan"
"5998","DSG4","cyan"
"5999","DSG3","cyan"
"6000","DSG2","brown"
"6001","DSG2-AS1","brown"
"6002","B4GALT6","grey60"
"6003","SLC25A52","grey60"
"6004","TRAPPC8","brown"
"6005","RNF125","grey60"
"6006","RNF138","brown"
"6007","MEP1B","brown"
"6008","GAREM","brown"
"6009","ASXL3","grey60"
"6010","NOL4","blue"
"6011","DTNA","pink"
"6012","MAPRE2","blue"
"6013","ZNF397","grey60"
"6014","ZSCAN30","grey60"
"6015","ZNF271P","brown"
"6016","ZNF24","brown"
"6017","MIR3975","pink"
"6018","GALNT1","blue"
"6019","C18orf21","brown"
"6020","RPRD1A","brown"
"6021","SLC39A6","brown"
"6022","ELP2","brown"
"6023","MOCOS","grey60"
"6024","KIAA1328","grey60"
"6025","LINC00669","brown"
"6026","MIR5583-2","blue"
"6027","MIR5583-1","blue"
"6028","KC6","coral1"
"6029","PIK3C3","brown"
"6030","LINC00907","skyblue"
"6031","RIT2","plum"
"6032","SETBP1","grey60"
"6033","MIR4319","steelblue"
"6034","SLC14A2","brown"
"6035","SIGLEC15","brown"
"6036","EPG5","grey60"
"6037","PSTPIP2","brown"
"6038","HAUS1","brown"
"6039","C18orf25","brown"
"6040","LOXHD1","firebrick4"
"6041","PIAS2","brown"
"6042","TCEB3B","brown"
"6043","HDHD2","brown"
"6044","IER3IP1","brown"
"6045","SKOR2","blue"
"6046","MIR4527","blue"
"6047","SMAD2","brown"
"6048","SMAD7","grey60"
"6049","DYM","brown"
"6050","C18orf32","brown"
"6051","MIR1539","brown"
"6052","SNORD58C","pink"
"6053","SNORD58A","grey60"
"6054","SNORD58B","grey60"
"6055","LIPG","cyan"
"6056","ACAA2","cyan"
"6057","SNHG22","grey60"
"6058","SCARNA17","brown"
"6059","MYO5B","grey60"
"6060","MIR4320","coral1"
"6061","MBD1","grey60"
"6062","ME2","brown"
"6063","ELAC1","brown"
"6064","SMAD4","grey60"
"6065","MEX3C","grey60"
"6066","LOC100287225","blue"
"6067","LOC102724651","brown"
"6068","LOC101928167","steelblue"
"6069","MBD2","grey60"
"6070","SNORA37","pink"
"6071","C18orf54","brown"
"6072","DYNAP","skyblue"
"6073","RAB27B","brown"
"6074","CCDC68","brown"
"6075","TCF4","brown"
"6076","MIR4529","steelblue"
"6077","LINC01416","brown"
"6078","TXNL1","brown"
"6079","WDR7","brown"
"6080","LINC-ROR","antiquewhite4"
"6081","BOD1L2","blue"
"6082","ST8SIA3","blue"
"6083","ONECUT2","blue"
"6084","NARS","brown"
"6085","LOC100505549","grey60"
"6086","ATP8B1","grey60"
"6087","NEDD4L","grey60"
"6088","ALPK2","blue"
"6089","LOC101927322","brown"
"6090","MALT1","brown"
"6091","ZNF532","grey60"
"6092","SEC11C","brown"
"6093","GRP","blue"
"6094","RAX","blue"
"6095","CPLX4","thistle2"
"6096","LMAN1","brown"
"6097","PMAIP1","blue"
"6098","MC4R","thistle2"
"6099","CDH20","pink"
"6100","LINC01544","brown"
"6101","RNF152","grey60"
"6102","PIGN","brown"
"6103","KIAA1468","brown"
"6104","TNFRSF11A","grey60"
"6105","ZCCHC2","grey60"
"6106","PHLPP1","grey60"
"6107","KDSR","brown"
"6108","VPS4B","brown"
"6109","SERPINB5","cyan"
"6110","SERPINB12","blue"
"6111","SERPINB13","cyan"
"6112","SERPINB4","brown"
"6113","SERPINB3","brown"
"6114","SERPINB7","brown"
"6115","SERPINB2","brown"
"6116","SERPINB8","brown"
"6117","LINC00305","plum"
"6118","LINC01538","blue"
"6119","CDH19","blue"
"6120","DSEL","brown"
"6121","LOC643542","brown"
"6122","TMX3","brown"
"6123","CCDC102B","brown"
"6124","DOK6","pink"
"6125","CD226","steelblue"
"6126","RTTN","brown"
"6127","SOCS6","brown"
"6128","LOC101927481","brown"
"6129","LOC101060542","blue"
"6130","GTSCR1","blue"
"6131","NETO1","thistle2"
"6132","LOC100505817","thistle2"
"6133","TIMM21","brown"
"6134","C18orf63","skyblue"
"6135","FAM69C","blue"
"6136","CNDP1","grey60"
"6137","LINC00909","brown"
"6138","ZNF407","brown"
"6139","ZADH2","grey60"
"6140","TSHZ1","grey60"
"6141","SMIM21","blue"
"6142","LOC339298","blue"
"6143","ZNF516","grey60"
"6144","LOC400661","blue"
"6145","ZNF236","brown"
"6146","MBP","brown"
"6147","GALR1","blue"
"6148","LINC01029","blue"
"6149","SALL3","blue"
"6150","ATP9B","grey60"
"6151","KCNG2","grey60"
"6152","RBFADN","grey60"
"6153","ADNP2","grey60"
"6154","PARD6G","grey60"
"6155","WASH5P","grey60"
"6156","OR4F17","antiquewhite4"
"6157","ELANE","blue"
"6158","CFD","brown"
"6159","CIRBP-AS1","grey60"
"6160","PLK5","pink"
"6161","ONECUT3","antiquewhite4"
"6162","CSNK1G2-AS1","pink"
"6163","MIR7850","blue"
"6164","ZNF554","grey60"
"6165","ZNF555","brown"
"6166","ZNF556","blue"
"6167","ZNF57","brown"
"6168","ZNF77","brown"
"6169","TLE6","pink"
"6170","GIPC3","cyan"
"6171","TBXA2R","skyblue"
"6172","ATCAY","blue"
"6173","NMRK2","antiquewhite4"
"6174","SNORD37","pink"
"6175","CREB3L3","blue"
"6176","EBI3","pink"
"6177","CHAF1A","grey60"
"6178","DPP9-AS1","grey60"
"6179","MIR7-3HG","blue"
"6180","TINCR","pink"
"6181","SAFB2","grey60"
"6182","SAFB","grey60"
"6183","NRTN","grey60"
"6184","LOC101928844","grey60"
"6185","LOC100128568","pink"
"6186","ACSBG2","grey60"
"6187","ACER1","cyan"
"6188","SLC25A41","pink"
"6189","TNFSF9","blue"
"6190","CD70","pink"
"6191","TNFSF14","blue"
"6192","MBD3L2","orangered3"
"6193","ZNF557","brown"
"6194","INSR","brown"
"6195","C19orf45","pink"
"6196","MIR6792","thistle2"
"6197","MCEMP1","blue"
"6198","FCER2","cyan"
"6199","CLEC4G","cyan"
"6200","CLEC4M","blue"
"6201","ANGPTL4","cyan"
"6202","HNRNPM","grey60"
"6203","OR2Z1","blue"
"6204","ZNF558","brown"
"6205","MBD3L1","grey60"
"6206","MUC16","grey60"
"6207","OR7G2","pink"
"6208","ZNF317","brown"
"6209","OR7D2","skyblue1"
"6210","OR7D4","blue"
"6211","ZNF699","brown"
"6212","ZNF559","brown"
"6213","ZNF266","brown"
"6214","ZNF560","blue"
"6215","ZNF426","brown"
"6216","ZNF121","brown"
"6217","ZNF561","grey60"
"6218","ZNF562","brown"
"6219","ZNF812","brown"
"6220","ZNF846","brown"
"6221","RDH8","blue"
"6222","MIR5589","blue"
"6223","C3P1","blue"
"6224","SNORD105B","orangered3"
"6225","DNMT1","grey60"
"6226","ICAM5","firebrick4"
"6227","MIR4748","blue"
"6228","MIR6793","grey60"
"6229","SMARCA4","grey60"
"6230","KANK2","grey60"
"6231","C19orf80","pink"
"6232","TSPAN16","blue"
"6233","CCDC159","pink"
"6234","EPOR","blue"
"6235","ELAVL3","blue"
"6236","ZNF627","brown"
"6237","ZNF823","brown"
"6238","ZNF441","brown"
"6239","ZNF439","brown"
"6240","ZNF69","pink"
"6241","ZNF700","brown"
"6242","ZNF763","brown"
"6243","ZNF433","brown"
"6244","ZNF878","brown"
"6245","ZNF844","brown"
"6246","ZNF788","brown"
"6247","ZNF625","brown"
"6248","ZNF136","brown"
"6249","ZNF44","brown"
"6250","ZNF563","brown"
"6251","ZNF442","brown"
"6252","ZNF799","brown"
"6253","ZNF443","brown"
"6254","ZNF709","brown"
"6255","ZNF564","brown"
"6256","ZNF490","brown"
"6257","ZNF791","brown"
"6258","SNORD41","grey60"
"6259","MIR181C","thistle2"
"6260","MIR181D","plum"
"6261","NANOS3","pink"
"6262","PALM3","grey60"
"6263","C19orf67","brown"
"6264","PTGER1","pink"
"6265","CLEC17A","blue"
"6266","ADGRE3","blue"
"6267","ZNF333","blue"
"6268","ADGRE2","blue"
"6269","OR7A17","blue"
"6270","OR7C2","blue"
"6271","CCDC105","mediumpurple2"
"6272","CASP14","skyblue"
"6273","OR1I1","blue"
"6274","EPHX3","blue"
"6275","AKAP8","grey60"
"6276","AKAP8L","grey60"
"6277","CYP4F22","cyan"
"6278","CYP4F8","blue"
"6279","CYP4F3","brown"
"6280","OR10H2","grey60"
"6281","OR10H3","blue"
"6282","OR10H5","blue"
"6283","OR10H1","blue"
"6284","UCA1","blue"
"6285","CYP4F2","grey60"
"6286","OR10H4","blue"
"6287","LINC00661","plum2"
"6288","LINC00905","blue"
"6289","TPM4","brown"
"6290","SLC35E1","grey60"
"6291","F2RL3","grey60"
"6292","ANKLE1","grey60"
"6293","ANO8","grey60"
"6294","PLVAP","cyan"
"6295","TMEM221","grey60"
"6296","UNC13A","blue"
"6297","PDE4C","grey60"
"6298","MIR3188","cyan"
"6299","SUGP2","grey60"
"6300","ZNF101","grey60"
"6301","ZNF14","brown"
"6302","ZNF506","brown"
"6303","ZNF253","brown"
"6304","ZNF93","brown"
"6305","ZNF682","brown"
"6306","ZNF90","pink"
"6307","ZNF486","brown"
"6308","ZNF737","brown"
"6309","ZNF626","brown"
"6310","ZNF85","brown"
"6311","ZNF430","brown"
"6312","ZNF714","brown"
"6313","ZNF431","brown"
"6314","ZNF708","brown"
"6315","ZNF738","brown"
"6316","ZNF493","brown"
"6317","LINC00664","skyblue"
"6318","ZNF429","brown"
"6319","ZNF100","brown"
"6320","LOC641367","brown"
"6321","ZNF43","brown"
"6322","ZNF208","cyan"
"6323","ZNF257","brown"
"6324","ZNF676","skyblue"
"6325","ZNF729","cyan"
"6326","ZNF98","skyblue"
"6327","GOLGA2P9","blue"
"6328","ZNF492","brown"
"6329","ZNF99","brown"
"6330","ZNF728","cyan"
"6331","LOC101929164","blue"
"6332","LOC101929144","thistle2"
"6333","ZNF724P","pink"
"6334","ZNF91","brown"
"6335","ZNF675","brown"
"6336","ZNF681","brown"
"6337","ZNF254","brown"
"6338","HAVCR1P1","grey60"
"6339","LOC101927151","brown"
"6340","LOC100420587","blue"
"6341","LINC01532","darkviolet"
"6342","LOC284395","blue"
"6343","C19orf12","grey60"
"6344","CCNE1","pink"
"6345","URI1","grey60"
"6346","ZNF536","blue"
"6347","TSHZ3","grey60"
"6348","THEG5","blue"
"6349","LINC01533","blue"
"6350","LOC101927411","blue"
"6351","ZNF507","brown"
"6352","DPY19L3","grey60"
"6353","PDCD5","brown"
"6354","ANKRD27","brown"
"6355","NUDT19","grey60"
"6356","TDRD12","brown"
"6357","RHPN2","grey60"
"6358","GPATCH1","brown"
"6359","WDR88","grey60"
"6360","CEBPG","brown"
"6361","LSM14A","brown"
"6362","KIAA0355","grey60"
"6363","UBA2","brown"
"6364","SCGB2B3P","brown"
"6365","ZNF302","brown"
"6366","ZNF181","brown"
"6367","LINC00904","blue"
"6368","ZNF30","brown"
"6369","ZNF792","grey60"
"6370","LGI4","pink"
"6371","FXYD7","pink"
"6372","FAM187B","firebrick4"
"6373","HAMP","cyan"
"6374","FFAR1","coral1"
"6375","LINC01531","skyblue"
"6376","KRTDAP","pink"
"6377","DMKN","cyan"
"6378","SBSN","pink"
"6379","GAPDHS","grey60"
"6380","ATP4A","blue"
"6381","LOC102723617","plum2"
"6382","UPK1A","skyblue"
"6383","UPK1A-AS1","skyblue"
"6384","U2AF1L4","pink"
"6385","HSPB6","antiquewhite4"
"6386","PRODH2","blue"
"6387","COX7A1","antiquewhite4"
"6388","ZNF565","brown"
"6389","ZNF146","brown"
"6390","ZFP14","brown"
"6391","ZFP82","brown"
"6392","LOC644189","cyan"
"6393","ZNF566","brown"
"6394","LOC728752","grey60"
"6395","ZNF260","brown"
"6396","ZNF529","grey60"
"6397","ZNF529-AS1","grey60"
"6398","ZNF461","brown"
"6399","LINC01534","brown"
"6400","ZNF567","brown"
"6401","ZNF850","brown"
"6402","ZNF790-AS1","brown"
"6403","ZNF790","brown"
"6404","ZNF345","brown"
"6405","ZNF829","brown"
"6406","ZNF568","brown"
"6407","ZNF420","brown"
"6408","ZNF585A","brown"
"6409","ZNF585B","grey60"
"6410","ZNF383","brown"
"6411","LOC284412","grey60"
"6412","HKR1","brown"
"6413","ZNF527","brown"
"6414","ZNF569","brown"
"6415","ZNF570","brown"
"6416","ZNF793-AS1","brown"
"6417","ZNF793","grey60"
"6418","ZNF571-AS1","brown"
"6419","ZNF540","brown"
"6420","ZNF571","brown"
"6421","ZFP30","grey60"
"6422","ZNF607","brown"
"6423","ZNF573","brown"
"6424","LOC644554","brown"
"6425","LOC100631378","brown"
"6426","WDR87","blue"
"6427","KCNK6","brown"
"6428","CATSPERG","grey60"
"6429","GGN","grey60"
"6430","LGALS7","antiquewhite4"
"6431","LGALS7B","antiquewhite4"
"6432","CCER2","grey60"
"6433","PAPL","pink"
"6434","NCCRP1","blue"
"6435","SYCN","grey60"
"6436","IFNL4","orangered3"
"6437","IFNL2","cyan"
"6438","IFNL1","pink"
"6439","PAF1","grey60"
"6440","PLEKHG2","thistle2"
"6441","SUPT5H","grey60"
"6442","DLL3","pink"
"6443","SELV","blue"
"6444","EID2","brown"
"6445","LGALS13","thistle2"
"6446","LOC100129935","blue"
"6447","LGALS16","blue"
"6448","LGALS17A","cyan"
"6449","LGALS14","blue"
"6450","MIR6719","brown"
"6451","ZNF546","brown"
"6452","ZNF780B","grey60"
"6453","ZNF780A","grey60"
"6454","CYP2A6","antiquewhite4"
"6455","CYP2A7","antiquewhite4"
"6456","ERICH4","coral1"
"6457","LINC01480","blue"
"6458","CEACAM21","antiquewhite4"
"6459","CEACAM7","blue"
"6460","CEACAM5","brown"
"6461","CEACAM6","brown"
"6462","CEACAM3","blue"
"6463","LYPD4","blue"
"6464","DMRTC2","blue"
"6465","POU2F2","pink"
"6466","LOC100505622","cyan"
"6467","MIR4323","blue"
"6468","TMEM145","antiquewhite4"
"6469","MIR8077","steelblue"
"6470","CNFN","pink"
"6471","LOC101930071","pink"
"6472","LIPE-AS1","pink"
"6473","CEACAM1","blue"
"6474","CEACAM8","brown"
"6475","PSG3","skyblue"
"6476","LOC100289650","pink"
"6477","PSG10P","skyblue"
"6478","PSG1","pink"
"6479","PSG6","pink"
"6480","PSG7","skyblue"
"6481","PSG11","brown"
"6482","PSG2","pink"
"6483","PSG5","blue"
"6484","PSG4","cyan"
"6485","LOC284344","blue"
"6486","PSG9","blue"
"6487","PRG1","brown"
"6488","CD177","thistle2"
"6489","TEX101","brown"
"6490","IRGQ","grey60"
"6491","LYPD5","blue"
"6492","ZNF283","brown"
"6493","ZNF404","brown"
"6494","LOC100505715","brown"
"6495","ZNF45","brown"
"6496","ZNF221","pink"
"6497","ZNF155","brown"
"6498","LOC101928063","brown"
"6499","ZNF230","brown"
"6500","ZNF222","brown"
"6501","ZNF223","brown"
"6502","ZNF284","grey60"
"6503","ZNF224","brown"
"6504","LOC100379224","brown"
"6505","ZNF225","brown"
"6506","ZNF234","brown"
"6507","ZNF226","brown"
"6508","ZNF227","brown"
"6509","ZNF233","brown"
"6510","ZNF235","brown"
"6511","ZNF112","brown"
"6512","ZNF285","pink"
"6513","ZNF229","brown"
"6514","ZNF180","brown"
"6515","MIR4531","blue"
"6516","CEACAM19","grey60"
"6517","CEACAM16","brown"
"6518","APOC4-APOC2","pink"
"6519","APOC2","pink"
"6520","CLASRP","grey60"
"6521","NKPD1","skyblue"
"6522","EXOC3L2","cyan"
"6523","CKM","antiquewhite4"
"6524","GPR4","blue"
"6525","MIR330","brown"
"6526","FOXA3","antiquewhite4"
"6527","MIR769","orangered3"
"6528","IGFL4","skyblue"
"6529","LOC400706","blue"
"6530","IGFL2","cyan"
"6531","DKFZp434J0226","grey60"
"6532","PPP5D1","pink"
"6533","DACT3-AS1","grey60"
"6534","ARHGAP35","grey60"
"6535","MEIS3","grey60"
"6536","CRX","blue"
"6537","SULT2A1","blue"
"6538","SNAR-A4","blue"
"6539","SNAR-A3","blue"
"6540","SNAR-A14","blue"
"6541","SNAR-A5","blue"
"6542","SNAR-A9","blue"
"6543","SNAR-A8","blue"
"6544","SNAR-A10","blue"
"6545","SNAR-A11","blue"
"6546","SNAR-A7","blue"
"6547","SNAR-A6","blue"
"6548","SNAR-C3","blue"
"6549","BSPH1","blue"
"6550","ELSPBP1","blue"
"6551","CABP5","pink"
"6552","CARD8","blue"
"6553","CARD8-AS1","blue"
"6554","ZNF114","blue"
"6555","KCNJ14","grey60"
"6556","SULT2B1","pink"
"6557","SPACA4","grey60"
"6558","NTN5","grey60"
"6559","IZUMO1","grey60"
"6560","FGF21","blue"
"6561","TULP2","pink"
"6562","LHB","pink"
"6563","SNAR-G2","brown"
"6564","CGB7","pink"
"6565","KCNA7","grey60"
"6566","HRC","antiquewhite4"
"6567","TEAD2","coral1"
"6568","PTH2","blue"
"6569","SLC17A7","antiquewhite4"
"6570","SNORD33","grey60"
"6571","SNORD34","grey60"
"6572","SNORD35B","grey60"
"6573","PTOV1-AS1","grey60"
"6574","SNAR-D","blue"
"6575","KCNC3","grey60"
"6576","ASPDH","grey60"
"6577","SYT3","coral1"
"6578","SHANK1","blue"
"6579","ACPT","grey60"
"6580","SNORD88C","pink"
"6581","KLK15","blue"
"6582","KLK3","blue"
"6583","KLK2","blue"
"6584","KLKP1","blue"
"6585","KLK4","pink"
"6586","KLK5","pink"
"6587","KLK6","pink"
"6588","KLK7","blue"
"6589","KLK8","blue"
"6590","KLK9","pink"
"6591","KLK10","pink"
"6592","KLK12","pink"
"6593","KLK14","skyblue"
"6594","SIGLEC9","blue"
"6595","SIGLECL1","blue"
"6596","VSIG10L","blue"
"6597","CLDND2","pink"
"6598","LIM2","blue"
"6599","CEACAM18","blue"
"6600","ZNF175","grey60"
"6601","LINC01530","brown"
"6602","SPACA6P","blue"
"6603","FPR2","blue"
"6604","FPR3","steelblue"
"6605","ZNF577","brown"
"6606","ZNF649-AS1","brown"
"6607","ZNF649","brown"
"6608","ZNF613","brown"
"6609","ZNF350","brown"
"6610","ZNF615","brown"
"6611","ZNF614","brown"
"6612","ZNF432","grey60"
"6613","ZNF841","grey60"
"6614","ZNF616","brown"
"6615","ZNF836","brown"
"6616","MIR6801","brown"
"6617","ZNF766","brown"
"6618","ZNF480","brown"
"6619","ZNF610","brown"
"6620","ZNF880","brown"
"6621","ZNF528-AS1","grey60"
"6622","ZNF528","grey60"
"6623","ZNF534","brown"
"6624","ZNF578","brown"
"6625","ZNF808","brown"
"6626","ZNF701","brown"
"6627","ZNF137P","grey60"
"6628","ZNF83","brown"
"6629","ZNF611","brown"
"6630","ZNF600","brown"
"6631","ZNF28","brown"
"6632","ZNF468","brown"
"6633","ZNF320","grey60"
"6634","ZNF888","brown"
"6635","ZNF321P","brown"
"6636","ZNF816-ZNF321P","brown"
"6637","ZNF816","brown"
"6638","ZNF702P","brown"
"6639","ZNF160","brown"
"6640","ZNF415","brown"
"6641","ZNF347","brown"
"6642","ZNF665","brown"
"6643","ZNF818P","grey60"
"6644","ZNF677","brown"
"6645","VN1R2","cyan"
"6646","VN1R4","blue"
"6647","ZNF845","brown"
"6648","ZNF525","brown"
"6649","ZNF765","brown"
"6650","ZNF761","brown"
"6651","TPM3P9","brown"
"6652","ZNF813","brown"
"6653","ZNF331","brown"
"6654","LOC284379","blue"
"6655","MIR520F","pink"
"6656","MIR518A1","steelblue"
"6657","MIR527","blue"
"6658","MIR371A","blue"
"6659","MIR371B","blue"
"6660","MIR372","blue"
"6661","MIR373","blue"
"6662","MIR935","blue"
"6663","LILRB3","blue"
"6664","LILRA6","blue"
"6665","LILRB2","blue"
"6666","LILRA5","blue"
"6667","LENG8-AS1","grey60"
"6668","LENG8","grey60"
"6669","LAIR2","thistle2"
"6670","LILRB1","cyan"
"6671","MIR8061","skyblue"
"6672","KIR2DL1","blue"
"6673","KIR2DL4","steelblue"
"6674","KIR3DL1","steelblue"
"6675","KIR2DS4","steelblue"
"6676","KIR3DL2","steelblue"
"6677","FCAR","blue"
"6678","NCR1","pink"
"6679","NLRP2","thistle2"
"6680","GP6","pink"
"6681","TNNI3","antiquewhite4"
"6682","TMEM150B","cyan"
"6683","COX6B2","grey60"
"6684","IL11","pink"
"6685","TMEM190","pink"
"6686","SBK2","antiquewhite4"
"6687","NLRP9","pink"
"6688","RFPL4A","blue"
"6689","RFPL4AL1","firebrick4"
"6690","NLRP11","blue"
"6691","NLRP4","blue"
"6692","NLRP13","blue"
"6693","NLRP8","blue"
"6694","NLRP5","blue"
"6695","LOC101928886","pink"
"6696","ZNF542P","brown"
"6697","ZNF582","brown"
"6698","ZNF582-AS1","brown"
"6699","ZNF583","brown"
"6700","ZNF667","skyblue"
"6701","ZNF667-AS1","skyblue"
"6702","ZNF471","brown"
"6703","ZFP28","brown"
"6704","ZNF470","brown"
"6705","SMIM17","grey60"
"6706","ZIM2-AS1","blue"
"6707","MIMT1","blue"
"6708","USP29","blue"
"6709","ZIM3","blue"
"6710","DUXA","blue"
"6711","ZNF264","grey60"
"6712","ZNF805","brown"
"6713","ZNF460","brown"
"6714","ZNF543","brown"
"6715","ZNF304","brown"
"6716","ZNF547","brown"
"6717","ZNF548","brown"
"6718","ZNF17","brown"
"6719","VN1R1","brown"
"6720","ZNF772","grey60"
"6721","ZNF419","brown"
"6722","ZNF773","brown"
"6723","ZNF549","brown"
"6724","ZNF550","brown"
"6725","ZNF416","brown"
"6726","ZIK1","brown"
"6727","ZNF530","grey60"
"6728","ZNF134","brown"
"6729","ZNF211","brown"
"6730","ZSCAN4","brown"
"6731","ZNF551","brown"
"6732","ZNF154","grey60"
"6733","ZNF671","brown"
"6734","ZNF776","grey60"
"6735","ZNF586","brown"
"6736","ZNF552","brown"
"6737","FKBP1AP1","brown"
"6738","ZNF587B","brown"
"6739","ZNF587","grey60"
"6740","ZNF814","grey60"
"6741","ZNF417","grey60"
"6742","ZNF418","grey60"
"6743","ZNF256","brown"
"6744","C19orf18","grey60"
"6745","ZNF606","brown"
"6746","LOC100128398","brown"
"6747","ZSCAN1","pink"
"6748","ZNF135","brown"
"6749","ZNF329","grey60"
"6750","ZNF274","brown"
"6751","ZNF544","brown"
"6752","ZNF8","grey60"
"6753","MIR6806","antiquewhite4"
"6754","FAM110C","grey60"
"6755","SH3YL1","grey60"
"6756","ACP1","brown"
"6757","FAM150B","brown"
"6758","LINC01115","thistle2"
"6759","LOC101060385","brown"
"6760","SNTG2","brown"
"6761","MYT1L","mediumpurple2"
"6762","MYT1L-AS1","blue"
"6763","LINC01250","brown"
"6764","RNASEH1","brown"
"6765","ALLC","blue"
"6766","DCDC2C","blue"
"6767","LINC01304","blue"
"6768","LINC01249","blue"
"6769","SOX11","antiquewhite4"
"6770","LINC01105","blue"
"6771","LOC400940","blue"
"6772","LINC00487","coral1"
"6773","NRIR","grey60"
"6774","CMPK2","cyan"
"6775","RSAD2","cyan"
"6776","RNF144A","grey60"
"6777","LOC101929452","brown"
"6778","LOC101929551","blue"
"6779","LINC00298","blue"
"6780","LINC00299","brown"
"6781","LOC101929567","pink"
"6782","ID2","brown"
"6783","KIDINS220","brown"
"6784","MBOAT2","cyan"
"6785","ASAP2","grey60"
"6786","ITGB1BP1","brown"
"6787","CPSF3","brown"
"6788","ADAM17","brown"
"6789","YWHAQ","brown"
"6790","TAF1B","brown"
"6791","GRHL1","brown"
"6792","KLF11","grey60"
"6793","MIR4261","skyblue1"
"6794","SNORA80B","brown"
"6795","NOL10","brown"
"6796","ATP6V1C2","brown"
"6797","PDIA6","brown"
"6798","KCNF1","mediumpurple2"
"6799","ROCK2","brown"
"6800","LINC00570","plum"
"6801","E2F6","brown"
"6802","GREB1","grey60"
"6803","NTSR2","blue"
"6804","LPIN1","blue"
"6805","MIR548S","blue"
"6806","LOC100506457","blue"
"6807","TRIB2","grey60"
"6808","MIR3125","grey60"
"6809","LOC100506474","blue"
"6810","NBAS","grey60"
"6811","DDX1","brown"
"6812","LOC101926966","blue"
"6813","MYCNUT","blue"
"6814","MYCNOS","blue"
"6815","MYCN","cyan"
"6816","GACAT3","blue"
"6817","FAM49A","blue"
"6818","RAD51AP2","grey60"
"6819","VSNL1","cyan"
"6820","SMC6","brown"
"6821","GEN1","grey60"
"6822","RDH14","brown"
"6823","NT5C1B-RDH14","brown"
"6824","NT5C1B","brown"
"6825","LINC00954","brown"
"6826","TTC32","brown"
"6827","MATN3","brown"
"6828","PUM2","grey60"
"6829","HS1BP3-IT1","grey60"
"6830","LDAH","brown"
"6831","APOB","brown"
"6832","TDRD15","pink"
"6833","LOC645949","blue"
"6834","KLHL29","grey60"
"6835","ATAD2B","brown"
"6836","UBXN2A","brown"
"6837","MFSD2B","pink"
"6838","C2orf44","brown"
"6839","ITSN2","brown"
"6840","NCOA1","brown"
"6841","DNAJC27","grey60"
"6842","POMC","pink"
"6843","DNMT3A","grey60"
"6844","ASXL2","grey60"
"6845","RAB10","brown"
"6846","HADHA","brown"
"6847","HADHB","brown"
"6848","ADGRF3","grey60"
"6849","EPT1","grey60"
"6850","KCNK3","antiquewhite4"
"6851","DPYSL5","blue"
"6852","PRR30","blue"
"6853","TCF23","blue"
"6854","TRIM54","antiquewhite4"
"6855","FTH1P3","blue"
"6856","GCKR","steelblue"
"6857","ZNF512","brown"
"6858","GPN1","brown"
"6859","SUPT7L","grey60"
"6860","SLC4A1AP","brown"
"6861","MRPL33","brown"
"6862","BRE-AS1","blue"
"6863","MIR4263","brown"
"6864","LOC100505736","brown"
"6865","LOC100505716","brown"
"6866","PLB1","blue"
"6867","PPP1CB","brown"
"6868","SPDYA","brown"
"6869","TRMT61B","brown"
"6870","WDR43","brown"
"6871","SNORD53","grey60"
"6872","CLIP4","brown"
"6873","ALK","pink"
"6874","YPEL5","blue"
"6875","LOC285043","blue2"
"6876","LCLAT1","brown"
"6877","EHD3","blue"
"6878","XDH","brown"
"6879","DPY30","brown"
"6880","SPAST","brown"
"6881","SLC30A6","brown"
"6882","NLRC4","blue"
"6883","YIPF4","brown"
"6884","BIRC6","brown"
"6885","MIR558","brown"
"6886","BIRC6-AS2","brown"
"6887","TTC27","brown"
"6888","LOC100271832","brown"
"6889","LTBP1","grey60"
"6890","RASGRP3","brown"
"6891","FAM98A","brown"
"6892","LINC01317","orangered3"
"6893","MYADML","blue"
"6894","CRIM1","grey60"
"6895","FEZ2","grey60"
"6896","STRN","brown"
"6897","HEATR5B","grey60"
"6898","GPATCH11","brown"
"6899","EIF2AK2","brown"
"6900","CEBPZOS","brown"
"6901","CEBPZ","brown"
"6902","NDUFAF7","brown"
"6903","PRKD3","brown"
"6904","QPCT","blue"
