"","genes","modules"
"321","MKNK1-AS1","grey60"
"322","ATPAF1","brown"
"323","TEX38","brown"
"324","EFCAB14-AS1","brown"
"325","EFCAB14","brown"
"326","CYP4B1","brown"
"327","CYP4Z2P","brown"
"328","CYP4A11","grey60"
"329","CYP4X1","brown"
"330","CYP4Z1","grey60"
"331","CYP4A22","grey60"
"332","STIL","brown"
"333","CMPK1","brown"
"334","LINC01389","grey60"
"335","SKINTL","cyan"
"336","FAF1","brown"
"337","RNF11","brown"
"338","EPS15","brown"
"339","OSBPL9","brown"
"340","NRD1","brown"
"341","MIR761","grey60"
"342","TXNDC12","brown"
"343","TXNDC12-AS1","brown"
"344","BTF3L4","brown"
"345","ZFYVE9","grey60"
"346","PRPF38A","brown"
"347","ZCCHC11","grey60"
"348","COA7","brown"
"349","ZYG11B","brown"
"350","ZYG11A","grey60"
"351","SCP2","brown"
"352","MIR1273F","brown"
"353","MIR5095","pink"
"354","PODN","grey60"
"355","SLC1A7","plum"
"356","MAGOH","grey60"
"357","LRP8","brown"
"358","NDC1","brown"
"359","DIO1","pink"
"360","TMEM59","brown"
"361","CYB5RL","brown"
"362","SSBP3","grey60"
"363","SSBP3-AS1","brown"
"364","MROH7","pink"
"365","MROH7-TTC4","grey60"
"366","C1orf177","cyan"
"367","USP24","grey60"
"368","LOC100507634","grey60"
"369","PPAP2B","brown"
"370","PRKAA2","brown"
"371","C8A","brown"
"372","OMA1","brown"
"373","MYSM1","grey60"
"374","LINC01135","brown"
"375","MIR4711","brown"
"376","LOC101926944","brown"
"377","HOOK1","grey60"
"378","CYP2J2","brown"
"379","LOC101926964","blue"
"380","NFIA","brown"
"381","NFIA-AS1","brown"
"382","MGC34796","pink"
"383","TM2D1","brown"
"384","INADL","brown"
"385","USP1","brown"
"386","DOCK7","brown"
"387","ANGPTL3","pink"
"388","ATG4C","brown"
"389","FOXD3","skyblue"
"390","ALG6","brown"
"391","ITGB3BP","brown"
"392","DLEU2L","pink"
"393","ROR1","brown"
"394","ROR1-AS1","cyan"
"395","UBE2U","plum"
"396","CACHD1","brown"
"397","MIR4794","brown"
"398","RAVER2","grey60"
"399","JAK1","brown"
"400","LINC01359","blue"
"401","MIR3671","blue"
"402","AK4","cyan"
"403","LEPROT","brown"
"404","LEPR","brown"
"405","PDE4B","blue"
"406","MIER1","brown"
"407","SLC35D1","brown"
"408","IL23R","steelblue"
"409","IL12RB2","brown"
"410","SERBP1","grey60"
"411","GADD45A","brown"
"412","GNG12","brown"
"413","GNG12-AS1","brown"
"414","WLS","grey60"
"415","DEPDC1-AS1","blue"
"416","PIN1P1","blue"
"417","LRRC40","brown"
"418","SRSF11","grey60"
"419","ANKRD13C","brown"
"420","CTH","blue"
"421","LOC101927244","blue"
"422","PTGER3","skyblue"
"423","ZRANB2-AS1","grey60"
"424","ZRANB2","brown"
"425","MIR186","grey60"
"426","ZRANB2-AS2","brown"
"427","LINC01360","steelblue"
"428","FPGT","brown"
"429","FPGT-TNNI3K","brown"
"430","TNNI3K","brown"
"431","CRYZ","brown"
"432","TYW3","brown"
"433","LHX8","blue"
"434","SLC44A5","plum"
"435","ACADM","brown"
"436","DLSTP1","brown"
"437","RABGGTB","grey60"
"438","SNORD45C","grey60"
"439","SNORD45A","grey60"
"440","SNORD45B","grey60"
"441","MSH4","brown"
"442","ASB17","blue"
"443","ST6GALNAC3","blue"
"444","MIR7156","skyblue1"
"445","PIGK","brown"
"446","AK5","brown"
"447","ZZZ3","brown"
"448","USP33","brown"
"449","FAM73A","brown"
"450","NEXN-AS1","pink"
"451","NEXN","antiquewhite4"
"452","FUBP1","grey60"
"453","DNAJB4","brown"
"454","IFI44L","cyan"
"455","IFI44","brown"
"456","ADGRL4","cyan"
"457","LOC101927412","steelblue"
"458","LOC101927434","antiquewhite4"
"459","ADGRL2","brown"
"460","LOC101927587","brown"
"461","MIR548AP","pink"
"462","LOC101927560","brown"
"463","PRKACB","brown"
"464","UOX","steelblue"
"465","DNASE2B","steelblue"
"466","RPF1","brown"
"467","SPATA1","brown"
"468","CTBS","brown"
"469","LINC01461","skyblue"
"470","LINC01555","cyan"
